sentence,options,answer,difficulty,question_type
sale,MATCHING_PAIR,an event or period of time during which a shop reduces the prices of some of its goods,easy,MATCHING
save,MATCHING_PAIR,"to regularly put money in a bank, or to invest it so that you can use it later",easy,MATCHING
select,MATCHING_PAIR,to choose someone or something from a group,easy,MATCHING
supply,MATCHING_PAIR,to provide someone or something with something that they need or want,easy,MATCHING
variety,MATCHING_PAIR,a number of different people or things,easy,MATCHING
waste,MATCHING_PAIR,"to use more of something than is necessary, or to use it in a way that does not produce the best results",easy,MATCHING
artificial,MATCHING_PAIR,"not natural or real, but made by people",easy,MATCHING
automatic,MATCHING_PAIR,an automatic machine can work by itself without being operated by people,easy,MATCHING
complicated,MATCHING_PAIR,"difficult to do, deal with, or understand",easy,MATCHING
decrease,MATCHING_PAIR,to become less,easy,MATCHING
digital,MATCHING_PAIR,storing information such as sound or pictures as numbers or electronic signals,easy,MATCHING
discover,MATCHING_PAIR,to find something that was hidden or that no one knew about before,easy,MATCHING
effect,MATCHING_PAIR,a change that is produced in one person or thing by another,easy,MATCHING
equipment,MATCHING_PAIR,"the tools, machines, or other things that you need for a particular job or activity",easy,MATCHING
estimate,MATCHING_PAIR,to guess or calculate an amount or value by using available information,easy,MATCHING
exact,MATCHING_PAIR,"done, made, or described with all the details correct",easy,MATCHING
experiment,MATCHING_PAIR,to perform scientific tests in order to find out what happens to someone or something in particular conditions,easy,MATCHING
gadget,MATCHING_PAIR,a small tool or piece of equipment that does something that is useful or impressive,easy,MATCHING
hardware,MATCHING_PAIR,computer equipment,easy,MATCHING
invent,MATCHING_PAIR,to design or create something that did not exist before,easy,MATCHING
involve,MATCHING_PAIR,"to include something as part of an activity, event, or situation",easy,MATCHING
laboratory,MATCHING_PAIR,a building or large room where people do scientific research,easy,MATCHING
lack,MATCHING_PAIR,"to not have something, or to not have enough of something",easy,MATCHING
laptop,MATCHING_PAIR,a small computer that you can carry with you,easy,MATCHING
maximum,MATCHING_PAIR,"the largest in amount, size, or number that is allowed or possible",easy,MATCHING
minimum,MATCHING_PAIR,"the smallest in amount, size, or number that is allowed or possible",easy,MATCHING
operate,MATCHING_PAIR,"if equipment operates, or if you operate it, you use or control it and it works in the way it should",easy,MATCHING
plastic,MATCHING_PAIR,"a very common light, strong substance that is produced by a chemical process and used for making many different things",easy,MATCHING
program,MATCHING_PAIR,to make a computer or other piece of equipment do something automatically,easy,MATCHING
research,MATCHING_PAIR,the detailed study of something in order to discover new facts,easy,MATCHING
run,MATCHING_PAIR,"if you run a computer program, or if it runs, you start it or use it",easy,MATCHING
screen,MATCHING_PAIR,"the flat surface on a computer, television, or piece of electronic equipment where words and pictures are shown",easy,MATCHING
software,MATCHING_PAIR,the programs used by computers for doing particular jobs,easy,MATCHING
sudden,MATCHING_PAIR,happening very quickly and without any sign that it is going to happen,easy,MATCHING
technology,MATCHING_PAIR,advanced scientific knowledge that is used for practical purposes,easy,MATCHING
unique,MATCHING_PAIR,not the same as anything or anyone else,easy,MATCHING
accent,MATCHING_PAIR,"a way of pronouncing words that shows what country, region, or social class you come from",easy,MATCHING
announcement,MATCHING_PAIR,a public statement that gives people information about something,easy,MATCHING
broadcast,MATCHING_PAIR,to send out messages or programmes to be received by radios or televisions,easy,MATCHING
channel,MATCHING_PAIR,a television station and the programmes that it broadcasts,easy,MATCHING
clear,MATCHING_PAIR,easy to understand,easy,MATCHING
click,MATCHING_PAIR,to make a computer do something by pressing a button on the mouse,easy,MATCHING
contact,MATCHING_PAIR,"to communicate with someone by phone, e-mail, letter, etc",easy,MATCHING
file,MATCHING_PAIR,a set of information that is stored on a computer and that is given a particular name,easy,MATCHING
formal,MATCHING_PAIR,suitable for serious situations or occasions,easy,MATCHING
image,MATCHING_PAIR,"picture, especially one in a mirror or on a computer, television, or cinema screen",easy,MATCHING
informal,MATCHING_PAIR,suitable for relaxed friendly situations,easy,MATCHING
Internet,MATCHING_PAIR,a computer system that allows people in different parts of the world to exchange information,easy,MATCHING
interrupt,MATCHING_PAIR,to say or do something that stops someone when they are speaking or concentrating on something,easy,MATCHING
link,MATCHING_PAIR,"if people, things, or events are linked, they are related to each other in some way",easy,MATCHING
media,MATCHING_PAIR,"radio, television, newspapers, the Internet and magazines, considered as a group",easy,MATCHING
mobile phone,MATCHING_PAIR,a small phone that you can carry around with you,easy,MATCHING
online,MATCHING_PAIR,connected to or available through the Internet,easy,MATCHING
pause,MATCHING_PAIR,to stop moving or doing something for a short time before starting again,easy,MATCHING
persuade,MATCHING_PAIR,to make someone agree to do something by giving them reasons why they should,easy,MATCHING
pronounce,MATCHING_PAIR,to say the sounds of words,easy,MATCHING
publish,MATCHING_PAIR,"to produce many copies of a book, magazine, or newspaper for people to buy",easy,MATCHING
request,MATCHING_PAIR,"to ask for something, or to ask someone to do something, in a polite or formal way",easy,MATCHING
ring,MATCHING_PAIR,to call someone on the telephone,easy,MATCHING
signal,MATCHING_PAIR,a movement or sound that is made by someone and has a special meaning for another person,easy,MATCHING
swear,MATCHING_PAIR,"to use words that are deliberately offensive, for example because you are angry",easy,MATCHING
type,MATCHING_PAIR,a group of people or things with similar qualities that make them different from other groups,easy,MATCHING
viewer,MATCHING_PAIR,someone who watches television programmes,easy,MATCHING
website,MATCHING_PAIR,"a place on the Internet where information is available about a particular subject, company, university, etc",easy,MATCHING
whisper,MATCHING_PAIR,"to speak very quietly to someone, so that other people cannot hear you",easy,MATCHING
admit,MATCHING_PAIR,to say that you have done something wrong,easy,MATCHING
arrest,MATCHING_PAIR,"if the police arrest someone, they take that person to a police station because they think that he or she has committed a crime",easy,MATCHING
charity,MATCHING_PAIR,an organisation that gives money and help to people who need it; money or food that is given to people who need it,easy,MATCHING
commit,MATCHING_PAIR,to do something that is illegal,easy,MATCHING
community,MATCHING_PAIR,the people who live in an area,easy,MATCHING
court,MATCHING_PAIR,a place where trials take place and legal cases are decided,easy,MATCHING
criminal,MATCHING_PAIR,someone who has committed a crime,easy,MATCHING
culture,MATCHING_PAIR,"a society that has its own set of ideas, beliefs and ways of behaving",easy,MATCHING
familiar,MATCHING_PAIR,"well known to you, or easily recognized by you",easy,MATCHING
government,MATCHING_PAIR,the people who control a country or area and make decisions about its laws and taxes,easy,MATCHING
habit,MATCHING_PAIR,something that you do often,easy,MATCHING
identity card,MATCHING_PAIR,an official document that shows who you are,easy,MATCHING
illegal,MATCHING_PAIR,not allowed by the law,easy,MATCHING
politics,MATCHING_PAIR,the ideas and activities that are involved in getting power in an area or governing it,easy,MATCHING
population,MATCHING_PAIR,the number of people who live in a particular area,easy,MATCHING
prison,MATCHING_PAIR,an institution where people are kept as a punishment for committing a crime,easy,MATCHING
protest,MATCHING_PAIR,to show publicly that you oppose something,easy,MATCHING
resident,MATCHING_PAIR,someone who lives in a particular place,easy,MATCHING
responsible,MATCHING_PAIR,"if you are responsible for something that has happened, you caused it, or you deserve to be blamed for it; in charge of someone or something",easy,MATCHING
rob,MATCHING_PAIR,to take money or property from someone illegally,easy,MATCHING
routine,MATCHING_PAIR,your usual way of doing things,easy,MATCHING
schedule,MATCHING_PAIR,a plan of activities or events and when they will happen,easy,MATCHING
situation,MATCHING_PAIR,the set of conditions that exist at a particular time in a particular place,easy,MATCHING
social,MATCHING_PAIR,relating to society and to people's lives in general,easy,MATCHING
society,MATCHING_PAIR,"people in general living together in organised communities, with laws and traditions controlling the way that they behave towards each other",easy,MATCHING
steal,MATCHING_PAIR,to take something that belongs to someone else without permission,easy,MATCHING
tradition,MATCHING_PAIR,"a very old custom, belief, or story",easy,MATCHING
typical,MATCHING_PAIR,like most things of the same type,easy,MATCHING
vote,MATCHING_PAIR,"to decide something, or to choose a representative or winner, by officially stating your choice, for example in an election",easy,MATCHING
youth club,MATCHING_PAIR,a place where young people can go to meet and take part in activities,easy,MATCHING
ambition,MATCHING_PAIR,something that you very much want to achieve,easy,MATCHING
application,MATCHING_PAIR,"a formal request to do something or have something, for example a job",easy,MATCHING
bank account,MATCHING_PAIR,an arrangement with a bank that allows you to keep your money there,easy,MATCHING
boss,MATCHING_PAIR,the person who is in charge of you at work,easy,MATCHING
career,MATCHING_PAIR,a job or profession that you work at for some time,easy,MATCHING
colleague,MATCHING_PAIR,someone who works in the same organisation or department as you,easy,MATCHING
company,MATCHING_PAIR,an organisation that sells services or goods,easy,MATCHING
contract,MATCHING_PAIR,a written legal agreement between two people or organisations,easy,MATCHING
department,MATCHING_PAIR,"a section in a government, organisation, or business that deals with a particular type of work",easy,MATCHING
deserve,MATCHING_PAIR,"if you deserve something, it is right that you get it, because of the way that you are or the way that you have behaved",easy,MATCHING
earn,MATCHING_PAIR,to receive money for work that you do,easy,MATCHING
fame,MATCHING_PAIR,the state of being famous,easy,MATCHING
goal,MATCHING_PAIR,the action of putting a ball into a goal in a game such as football,easy,MATCHING
impress,MATCHING_PAIR,"if someone or something impresses you, you admire them",easy,MATCHING
income,MATCHING_PAIR,money that someone gets from working or from investing money,easy,MATCHING
industry,MATCHING_PAIR,all the businesses involved in producing a particular type of goods or services,easy,MATCHING
interview,MATCHING_PAIR,"to ask someone, especially someone famous, questions about themselves, their work, or their ideas",easy,MATCHING
leader,MATCHING_PAIR,"someone who is in charge of a group, organisation, or country",easy,MATCHING
manager,MATCHING_PAIR,"someone whose job is to organise and control the work of a business, a department, or the people who work there",easy,MATCHING
pension,MATCHING_PAIR,an amount of money that someone receives regularly when they no longer work because of their age or because they are ill,easy,MATCHING
poverty,MATCHING_PAIR,a situation in which someone does not have enough money to pay for their basic needs,easy,MATCHING
pressure,MATCHING_PAIR,attempts to persuade or force someone to do something,easy,MATCHING
previous,MATCHING_PAIR,"a previous event, period, or thing happened or existed before the one that you are talking about",easy,MATCHING
profession,MATCHING_PAIR,a job that you need special skills and qualifications to do,easy,MATCHING
retire,MATCHING_PAIR,"to stop working permanently, especially when you are old",easy,MATCHING
salary,MATCHING_PAIR,a fixed amount of money that you earn each month or year from your job,easy,MATCHING
staff,MATCHING_PAIR,"the people who work for a particular company, organisation, or institution",easy,MATCHING
strike,MATCHING_PAIR,"a period of time during which people refuse to work, as a protest",easy,MATCHING
tax,MATCHING_PAIR,to make someone pay money to the government,easy,MATCHING
wealthy,MATCHING_PAIR,rich,easy,MATCHING
affect,MATCHING_PAIR,"to change or influence something, often in a negative way",easy,MATCHING
balance,MATCHING_PAIR,to create or preserve a good or correct balance between different features or aspects,easy,MATCHING
benefit,MATCHING_PAIR,"to get an advantage, or to give someone an advantage",easy,MATCHING
breathe,MATCHING_PAIR,to take air into your lungs through your nose or mouth and let it out again,easy,MATCHING
chew,MATCHING_PAIR,to use your teeth to bite food in your mouth into small pieces,easy,MATCHING
chop,MATCHING_PAIR,to cut something such as food or wood into pieces,easy,MATCHING
contain,MATCHING_PAIR,to have something inside,easy,MATCHING
cough,MATCHING_PAIR,"to force air up through your throat with a sudden noise, especially when you have a cold or when you want to get someone's attention",easy,MATCHING
cure,MATCHING_PAIR,to stop someone from being affected by an illness,easy,MATCHING
exercise,MATCHING_PAIR,to do a physical activity in order to stay healthy and to make your body stronger,easy,MATCHING
flu,MATCHING_PAIR,a very common infectious disease that lasts for a short time and makes you feel weak and tired,easy,MATCHING
have an operation,MATCHING_PAIR,the process of cutting into someone's body for medical reasons,easy,MATCHING
healthy,MATCHING_PAIR,physically strong and not ill,easy,MATCHING
ignore,MATCHING_PAIR,"to not consider something, or to not let it influence you",easy,MATCHING
infection,MATCHING_PAIR,a disease that is caused by bacteria or by a virus,easy,MATCHING
ingredient,MATCHING_PAIR,one of the foods or liquids that you use in making a particular meal,easy,MATCHING
injury,MATCHING_PAIR,physical harm,easy,MATCHING
limit,MATCHING_PAIR,"to prevent a number, amount, or effect from increasing past a particular point",easy,MATCHING
meal,MATCHING_PAIR,"an occasion when you eat, such as breakfast or lunch, or the food that you eat at that time",easy,MATCHING
pill,MATCHING_PAIR,a small piece of solid medicine that you swallow with water,easy,MATCHING
recover,MATCHING_PAIR,to become fit and healthy again after an illness or injury,easy,MATCHING
salty,MATCHING_PAIR,"containing salt, or tasting like salt",easy,MATCHING
slice,MATCHING_PAIR,to cut something into flat pieces,easy,MATCHING
sour,MATCHING_PAIR,with a taste like a lemon,easy,MATCHING
spicy,MATCHING_PAIR,with a strong hot flavour,easy,MATCHING
stir,MATCHING_PAIR,to move food or a liquid around using a spoon or other object,easy,MATCHING
suffer,MATCHING_PAIR,to feel pain in your body or your mind; to have a particular illness or physical problem,easy,MATCHING
taste,MATCHING_PAIR,to have a particular flavour; to eat or drink something and experience its flavour,easy,MATCHING
treatment,MATCHING_PAIR,"the process of providing medical care, or a particular type of medical care",easy,MATCHING
vitamin,MATCHING_PAIR,a natural substance in food that is necessary to keep your body healthy,easy,MATCHING
ancient,MATCHING_PAIR,very old,easy,MATCHING
checked,MATCHING_PAIR,printed or woven in a pattern of squares,easy,MATCHING
cotton,MATCHING_PAIR,cloth made from the white fibres of a plant called a cotton plant,easy,MATCHING
create,MATCHING_PAIR,to make something new exist or happen,easy,MATCHING
design,MATCHING_PAIR,"to decide how something will be made, how it will work, or what it will look like, and often to make drawings of it",easy,MATCHING
fix,MATCHING_PAIR,to repair something,easy,MATCHING
fold,MATCHING_PAIR,to bend a piece of paper or cloth and press one part of it over another part,easy,MATCHING
gallery,MATCHING_PAIR,a public building where you can look at paintings and other works of art,easy,MATCHING
improvement,MATCHING_PAIR,"the state of being better than before, or the process of making something better than it was before",easy,MATCHING
loose,MATCHING_PAIR,loose clothes are large and do not fit your body tightly,easy,MATCHING
maintain,MATCHING_PAIR,"to make regular repairs to something, so that it stays in good condition",easy,MATCHING
match,MATCHING_PAIR,"if one thing matches another, or they match, they form an attractive combination",easy,MATCHING
material,MATCHING_PAIR,cloth,easy,MATCHING
notice,MATCHING_PAIR,"to become conscious of someone or something by seeing, hearing, or feeling them",easy,MATCHING
pattern,MATCHING_PAIR,"a set of lines, shapes, or colours that are repeated regularly",easy,MATCHING
pile,MATCHING_PAIR,a number of things that are put on top of each other in an untidy way,easy,MATCHING
practical,MATCHING_PAIR,"involving, or relating to, real situations rather than theories or ideas alone",easy,MATCHING
rough,MATCHING_PAIR,with a surface that is not smooth,easy,MATCHING
shape,MATCHING_PAIR,the form of something,easy,MATCHING
silk,MATCHING_PAIR,a thin smooth cloth made from the fibres produced by insects called silkworms,easy,MATCHING
sleeve,MATCHING_PAIR,the part of a piece of clothing that covers your arm,easy,MATCHING
smooth,MATCHING_PAIR,completely even with no rough areas,easy,MATCHING
stretch,MATCHING_PAIR,"if you stretch something, or if it stretches, it becomes longer or wider when you pull it",easy,MATCHING
striped,MATCHING_PAIR,with a pattern of coloured lines,easy,MATCHING
style,MATCHING_PAIR,"the way that something is made or done that is typical of a particular group, time, or place",easy,MATCHING
suit,MATCHING_PAIR,"if a style or something you wear suits you, it makes you look good",easy,MATCHING
tear,MATCHING_PAIR,a hole in something where it has been torn,easy,MATCHING
tight,MATCHING_PAIR,fitting closely around your body or part of your body,easy,MATCHING
tool,MATCHING_PAIR,a piece of equipment that you hold to do a particular type of work,easy,MATCHING
amazing,MATCHING_PAIR,"very good, surprising, or impressive",easy,MATCHING
climate,MATCHING_PAIR,the climate of a country or region is the type of weather it has,easy,MATCHING
countryside,MATCHING_PAIR,"area away from towns and cities, with farms, fields and trees",easy,MATCHING
environment,MATCHING_PAIR,"the natural world, including the land, water, air, plants and animals",easy,MATCHING
extinct,MATCHING_PAIR,"if something such as a type of animal or plant is extinct, it no longer exists",easy,MATCHING
forecast,MATCHING_PAIR,"to make a statement about what is likely to happen, often relating to the weather",easy,MATCHING
freezing,MATCHING_PAIR,very cold; the temperature at which water freezes and becomes ice,easy,MATCHING
global,MATCHING_PAIR,including or affecting the whole world,easy,MATCHING
heatwave,MATCHING_PAIR,a continuous period of very hot weather,easy,MATCHING
insect,MATCHING_PAIR,a small animal that has six legs and often has wings,easy,MATCHING
lightning,MATCHING_PAIR,the bright flashes of light that you see in the sky during a storm,easy,MATCHING
litter,MATCHING_PAIR,to drop litter,easy,MATCHING
local,MATCHING_PAIR,"in or related to a particular area, especially the place where you live",easy,MATCHING
locate,MATCHING_PAIR,to find out the exact place where someone or something is; be located: to exist in a particular place,easy,MATCHING
mammal,MATCHING_PAIR,"an animal that is born from its mother's body, not from an egg, and drinks its mother's milk as a baby",easy,MATCHING
mild,MATCHING_PAIR,mild weather is warm and pleasant,easy,MATCHING
name,MATCHING_PAIR,to know and say what the name of someone or something is; to give someone or something a name,easy,MATCHING
origin,MATCHING_PAIR,the place or moment at which something begins to exist,easy,MATCHING
planet,MATCHING_PAIR,a very large round object that moves around the Sun or around another star,easy,MATCHING
preserve,MATCHING_PAIR,to take care of something in order to prevent it from being harmed or destroyed,easy,MATCHING
recycle,MATCHING_PAIR,to treat waste materials so that they can be used again,easy,MATCHING
reptile,MATCHING_PAIR,"a type of animal such as a snake or lizard that lays eggs, and whose body is covered in scales",easy,MATCHING
rescue,MATCHING_PAIR,to save someone from a dangerous or unpleasant situation,easy,MATCHING
satellite,MATCHING_PAIR,an object that is sent into space to travel round the Earth in order to receive and send information; a natural object such as a moon that moves around a planet,easy,MATCHING
shower,MATCHING_PAIR,a short period when it rains,easy,MATCHING
solar system,MATCHING_PAIR,the sun and the group of planets that move around it,easy,MATCHING
species,MATCHING_PAIR,a plant or animal group whose members all have similar general features and are able to produce young plants or animals together,easy,MATCHING
thunder,MATCHING_PAIR,the loud noise that you sometimes hear in the sky during a storm,easy,MATCHING
wild,MATCHING_PAIR,a wild animal or plant lives or grows on its own in natural conditions and is not raised by humans,easy,MATCHING
wildlife,MATCHING_PAIR,"animals, birds and plants that live in natural conditions",easy,MATCHING
amusing,MATCHING_PAIR,funny or entertaining,easy,MATCHING
annoy,MATCHING_PAIR,to make someone feel slightly angry or impatient,easy,MATCHING
attitude,MATCHING_PAIR,opinions or feelings that you show by your behaviour,easy,MATCHING
bad-tempered,MATCHING_PAIR,made annoyed or angry very easily,easy,MATCHING
behave,MATCHING_PAIR,to do things in a particular way,easy,MATCHING
bully,MATCHING_PAIR,to frighten or hurt someone who is smaller or weaker than you,easy,MATCHING
calm,MATCHING_PAIR,not affected by strong emotions,easy,MATCHING
celebrate,MATCHING_PAIR,to do something enjoyable in order to show that an occasion or event is special,easy,MATCHING
character,MATCHING_PAIR,the qualities that make up someone's personality,easy,MATCHING
depressed,MATCHING_PAIR,very unhappy and without any feelings of hope or enthusiasm,easy,MATCHING
embarrassing,MATCHING_PAIR,"making you feel nervous, ashamed, or stupid",easy,MATCHING
emotion,MATCHING_PAIR,"a feeling that you experience, for example love, fear, or anger",easy,MATCHING
enthusiastic,MATCHING_PAIR,"very interested in something, or excited by it",easy,MATCHING
feeling,MATCHING_PAIR,"an emotional state, for example anger or happiness",easy,MATCHING
glad,MATCHING_PAIR,happy and pleased about something,easy,MATCHING
hurt,MATCHING_PAIR,to feel pain somewhere in your body,easy,MATCHING
naughty,MATCHING_PAIR,a naughty child behaves badly,easy,MATCHING
noisy,MATCHING_PAIR,"making a lot of noise, or full of noise",easy,MATCHING
polite,MATCHING_PAIR,behaving towards other people in a pleasant way that follows all the usual rules of society,easy,MATCHING
react,MATCHING_PAIR,to behave in a particular way because of things that are happening around you or things that other people are doing to you,easy,MATCHING
regret,MATCHING_PAIR,"to feel sorry or sad about something that has happened, or about something that you have done",easy,MATCHING
ridiculous,MATCHING_PAIR,silly or unreasonable and deserving to be laughed at,easy,MATCHING
romantic,MATCHING_PAIR,"involving love, or making you have feelings of love",easy,MATCHING
rude,MATCHING_PAIR,not polite,easy,MATCHING
sense of humour,MATCHING_PAIR,the ability to laugh at things and recognize when they are funny,easy,MATCHING
shy,MATCHING_PAIR,"nervous and embarrassed in the company of other people, especially people who you do not know",easy,MATCHING
stress,MATCHING_PAIR,"a worried or nervous feeling that makes you unable to relax, or a situation that makes you feel like this",easy,MATCHING
tell a joke,MATCHING_PAIR,say a short story with a funny ending to make people laugh,easy,MATCHING
upset,MATCHING_PAIR,"to make someone feel sad, worried, or angry",easy,MATCHING
accident,MATCHING_PAIR,something that happens without being planned,easy,MATCHING
assume,MATCHING_PAIR,"to believe that something is true, even though you cannot be certain",easy,MATCHING
cause,MATCHING_PAIR,"to make something happen, usually something bad",easy,MATCHING
claim,MATCHING_PAIR,"to say that something is true, even though there is no definite proof",easy,MATCHING
complain,MATCHING_PAIR,to say that you are not happy about something,easy,MATCHING
convince,MATCHING_PAIR,to make someone believe that something is true; to persuade someone to do something,easy,MATCHING
criticise,MATCHING_PAIR,to say what you think is wrong or bad about something or someone,easy,MATCHING
deny,MATCHING_PAIR,to say that something is not true,easy,MATCHING
discussion,MATCHING_PAIR,a conversation about something important,easy,MATCHING
doubt,MATCHING_PAIR,"to think that something is probably not true, probably does not exist, or probably will not happen",easy,MATCHING
encourage,MATCHING_PAIR,to give someone confidence or hope,easy,MATCHING
get rid of,MATCHING_PAIR,"to throw away, give away, or sell something that you no longer want or need",easy,MATCHING
gossip,MATCHING_PAIR,to talk about other people or about things that are not important,easy,MATCHING
ideal,MATCHING_PAIR,perfect,easy,MATCHING
insult,MATCHING_PAIR,to say or do something that is offensive,easy,MATCHING
investigate,MATCHING_PAIR,to try to find out all the facts about something in order to learn the truth about it,easy,MATCHING
negative,MATCHING_PAIR,harmful or bad,easy,MATCHING
positive,MATCHING_PAIR,"a positive experience, situation, result, etc is a good one",easy,MATCHING
praise,MATCHING_PAIR,to express strong approval or admiration for someone or something,easy,MATCHING
pretend,MATCHING_PAIR,to behave in a particular way because you want someone to believe that something is true when it is not,easy,MATCHING
purpose,MATCHING_PAIR,an aim or use,easy,MATCHING
refuse,MATCHING_PAIR,"to say that you will not do or accept something, or will not let someone do something",easy,MATCHING
result,MATCHING_PAIR,to cause or produce something,easy,MATCHING
rumour,MATCHING_PAIR,something that people are saying that may or may not be true,easy,MATCHING
sensible,MATCHING_PAIR,reasonable and practical,easy,MATCHING
serious,MATCHING_PAIR,bad or dangerous enough to make you worried,easy,MATCHING
spare,MATCHING_PAIR,"kept in addition to other similar things, so that you can use it if you need it",easy,MATCHING
theory,MATCHING_PAIR,"an idea that you believe is true, although you have no proof",easy,MATCHING
thought,MATCHING_PAIR,"a word, idea, or image that comes into your mind",easy,MATCHING
warn,MATCHING_PAIR,"to tell someone about a possible problem or danger, so that they can avoid it or deal with it",easy,MATCHING
There's a big difference,MATCHING_PAIR,between an ordinary radio and a digital radio.,easy,MATCHING
Use my credit card to pay,MATCHING_PAIR,for the tickets and give me the cash later.,easy,MATCHING
Jim spent all his money,MATCHING_PAIR,on playing video games.,easy,MATCHING
I lent my new computer game,MATCHING_PAIR,to Daniel and I don't think I'll get it back for a while!,easy,MATCHING
I saw an advertisement,MATCHING_PAIR,for a watch that also plays TV programmes.,easy,MATCHING
There's something wrong,MATCHING_PAIR,with the DVD player we bought last week.,easy,MATCHING
You have to connect the computer,MATCHING_PAIR,to the power or it won't work.,easy,MATCHING
I am going to get married in June.,MATCHING_PAIR,Are you? Congratulations!,easy,MATCHING
Are we still going to the cinema on Saturday night?,MATCHING_PAIR,I don't know yet. I'll ring you on Friday.,easy,MATCHING
I'm having a party tomorrow night.,MATCHING_PAIR,Are you going to ask Jill to come too?,easy,MATCHING
I'm taking the kids to the circus tomorrow afternoon.,MATCHING_PAIR,Are you? I'm sure they'll love it!,easy,MATCHING
I think,MATCHING_PAIR,I'm going to buy the new Racetrack CD.,medium,MATCHING
I'm thinking,MATCHING_PAIR,of getting Dad a CD for his birthday.,medium,MATCHING
Phil's looking,MATCHING_PAIR,for his glasses. Have you seen them?,medium,MATCHING
Phil looks,MATCHING_PAIR,like he needs a holiday!,medium,MATCHING
Claire has,MATCHING_PAIR,darker hair than her sister.,medium,MATCHING
Claire is having,MATCHING_PAIR,a haircut at the moment.,medium,MATCHING
Andy is,MATCHING_PAIR,not old enough to drive a car.,medium,MATCHING
Andy is being,MATCHING_PAIR,very annoying at the moment!,medium,MATCHING
catch up with,MATCHING_PAIR,reach the same point/level as,medium,MATCHING
check in,MATCHING_PAIR,register at a hotel or an airport,medium,MATCHING
check out,MATCHING_PAIR,leave a hotel; investigate,medium,MATCHING
drop off,MATCHING_PAIR,let someone get out of a vehicle; fall asleep,medium,MATCHING
get back,MATCHING_PAIR,return from a place,medium,MATCHING
keep up with,MATCHING_PAIR,stay at the same point/level as,medium,MATCHING
make for,MATCHING_PAIR,go in the direction of,medium,MATCHING
pull in,MATCHING_PAIR,stop by the side of the road in a car,medium,MATCHING
run over,MATCHING_PAIR,hit with a car,medium,MATCHING
see off,MATCHING_PAIR,"go to a train station, etc, to see someone leave",medium,MATCHING
set out/off,MATCHING_PAIR,start a journey,medium,MATCHING
turn round,MATCHING_PAIR,go back in the opposite direction,medium,MATCHING
bring forward,MATCHING_PAIR,change the date/time of an event so it happens earlier,medium,MATCHING
get round to,MATCHING_PAIR,start (after planning to do sth for a long time),medium,MATCHING
get up to,MATCHING_PAIR,do; do sth you should not do,medium,MATCHING
go in for,MATCHING_PAIR,"enter (a competition, etc); like",medium,MATCHING
knock out,MATCHING_PAIR,defeat and remove from a competition; make unconscious,medium,MATCHING
look out,MATCHING_PAIR,be careful,medium,MATCHING
pull out,MATCHING_PAIR,stop being involved in an activity,medium,MATCHING
put up with,MATCHING_PAIR,tolerate,medium,MATCHING
take to,MATCHING_PAIR,start (as a habit),medium,MATCHING
I'm not very fond,MATCHING_PAIR,of playing in goal.,medium,MATCHING
She's interested,MATCHING_PAIR,in playing for the school team.,medium,MATCHING
You should concentrate,MATCHING_PAIR,on getting fit.,medium,MATCHING
I used to find it difficult,MATCHING_PAIR,to find enough time to have any hobbies.,medium,MATCHING
Let's listen,MATCHING_PAIR,to what the coach thinks first.,medium,MATCHING
We stopped,MATCHING_PAIR,to try to find the golf balls we'd lost.,medium,MATCHING
The bad weather stopped us,MATCHING_PAIR,from finishing the game.,medium,MATCHING
I refuse to put,MATCHING_PAIR,up with people who cheat at games.,medium,MATCHING
The current champion was knocked,MATCHING_PAIR,out in the second round of the competition.,medium,MATCHING
"I used to love basketball, but I've gone",MATCHING_PAIR,off team sports lately.,medium,MATCHING
The trainer asked us to carry,MATCHING_PAIR,on with the activity while he answered the phone.,medium,MATCHING
The organisers had to bring,MATCHING_PAIR,the race forward by a week.,medium,MATCHING
You should think about taking,MATCHING_PAIR,"up a martial art, to defend yourself.",medium,MATCHING
"Although she was very young, Olivia took",MATCHING_PAIR,to swimming as soon as she tried it.,medium,MATCHING
Rob had to pull,MATCHING_PAIR,out of the race because of a last minute injury.,medium,MATCHING
carry out,MATCHING_PAIR,"perform an experiment, etc",medium,MATCHING
come off,MATCHING_PAIR,succeed,medium,MATCHING
come up with,MATCHING_PAIR,"think of (an idea, a plan, etc)",medium,MATCHING
give off,MATCHING_PAIR,produce sth such as heat or a smell,medium,MATCHING
narrow down,MATCHING_PAIR,reduce the number of possibilities,medium,MATCHING
plug in,MATCHING_PAIR,connect to the electricity supply,medium,MATCHING
put through,MATCHING_PAIR,connect by phone,medium,MATCHING
turn into,MATCHING_PAIR,change into sth different,medium,MATCHING
Alex's electricity was cut,MATCHING_PAIR,off because she forgot to pay the bill.,medium,MATCHING
Wear a mask because these chemicals give,MATCHING_PAIR,off fumes that can be harmful.,medium,MATCHING
I'm writing an essay and I need to find,MATCHING_PAIR,out who discovered penicillin.,medium,MATCHING
I was pleased that our gamble came,MATCHING_PAIR,off and the experiment was a success.,medium,MATCHING
Alchemists spent years trying to turn,MATCHING_PAIR,metals such as lead into gold.,medium,MATCHING
Your teacher says you've really come,MATCHING_PAIR,on in physics over the last year.,medium,MATCHING
The fax machine has broken,MATCHING_PAIR,"down, so I'm afraid you'll have to wait until tomorrow.",medium,MATCHING
