word,definition,distractors,difficulty
rate,tỷ lệ,instructor|symbol|recording,easy
rather,hơn là,stay|scared|moon,easy
reach,với tới,rubbish|suddenly|joke,easy
react,phản ứng,clear|jewellery|sale,easy
realize,nhận ra,furniture|shall|recommend,easy
receive,nhận được,used|dear|chance,easy
recent,gần đây,copy|contain|simple,easy
recently,gần đây,kid|hall|attend,easy
reception,thu nhận,film|view|last,easy
recipe,công thức,discover|compete|circle,easy
recognize,nhận ra,wedding|screen|technology,easy
recommend,gợi ý,guide|sheet|divorced,easy
record,ghi,future|background|frog,easy
recording,ghi âm,flat|fiction|tool,easy
recycle,tái chế,digital|crime|download,easy
reduce,giảm bớt,manager|support|reporter,easy
refer,tham khảo,increase|reception|region,easy
refuse,từ chối,upstairs|raise|running,easy
region,vùng đất,desert|rock|act,easy
regular,thường xuyên,program|solve|lift,easy
relationship,mối quan hệ,oven|anyway|act,easy
remove,di dời,disease|already|hall,easy
repair,Sửa chữa,effect|heart|bright,easy
replace,thay thế,surprised|moon|washing,easy
reply,hồi đáp,destroy|recommend|whose,easy
report,báo cáo,finger|heavy|happily,easy
reporter,phóng viên,connected|power|almost,easy
request,lời yêu cầu,publish|term|comment,easy
research,nghiên cứu,runner|ancient|shape,easy
researcher,nhà nghiên cứu,attention|everywhere|farm,easy
respond,trả lời,crowded|download|decision,easy
response,phản ứng,support|passenger|foreign,easy
rest,nghỉ ngơi,brain|board|united,easy
rest,nghỉ ngơi,blow|system|run,easy
review,ôn tập,tradition|normally|formal,easy
ride,lái,experiment|mathematics|camping,easy
ring1,vòng 1,column|suggest|ability,easy
ring2,vòng 2,personality|god|raise,easy
rise,tăng lên,record|serious|tie,easy
rock,đá,sadly|themselves|national,easy
rock,đá,after|parking|divorced,easy
role,vai trò,award|training|kid,easy
roof,mái nhà,less|designer|column,easy
round,tròn,voice|insect|lab,easy
route,tuyến đường,either|enter|lift,easy
rubbish,rác,used|temperature|tradition,easy
rude,bất lịch sự,platform|straight|owner,easy
run,chạy,achieve|illness|sail,easy
runner,vận động viên chạy bộ,sail|training|myself,easy
running,đang chạy,report|good|light,easy
sadly,thật đáng buồn,rest|coach|platform,easy
safe,an toàn,joke|decision|intelligent,easy
sail,chèo,director|welcome|wash,easy
sailing,đi thuyền,soap|correctly|smell,easy
salary,lương,advertisement|link|material,easy
sale,doanh thu,movement|huge|provide,easy
sauce,nước xốt,please|employ|double,easy
save,cứu,gold|scared|apply,easy
scared,sợ hãi,dentist|goal|surprising,easy
scary,đáng sợ,clothing|listener|matter,easy
scene,bối cảnh,complain|ship|crowd,easy
schedule,lịch trình,unusual|available|greet,easy
score,điểm,cupboard|web|score,easy
screen,màn hình,season|suddenly|tidy,easy
search,tìm kiếm,relationship|incredible|certainly,easy
season,mùa,comfortable|collect|nowhere,easy
seat,ghế,direct|noise|error,easy
second1,giây1,architecture|available|original,easy
secondly,thứ hai,tie|little|ancient,easy
secret,bí mật,repair|plate|argument,easy
secretary,thư ký,general|between|shout,easy
seem,có vẻ,wheel|knee|human,easy
sense,giác quan,learning|carpet|lock,easy
separate,chia,carefully|experiment|can,easy
series,loạt,catch|burn|thought,easy
serious,nghiêm trọng,respond|major|cloud,easy
serve,phục vụ,among|third|pleased,easy
service,dịch vụ,act|beef|general,easy
several,một số,series|stomach|support,easy
shake,lắc,comedy|department|complain,easy
shall,nên,teaching|none|mark,easy
shape,hình dạng,avoid|washing|according,easy
sheet,tờ giấy,poster|except|per,easy
ship,tàu thủy,billion|understanding|lab,easy
shoulder,vai,extreme|trouble|argue,easy
shout,hét lên,energy|gas|count,easy
shut,đóng cửa,noisy|belong|while,easy
side,bên,shut|himself|jump,easy
sign,dấu hiệu,size|lift|lemon,easy
silver,bạc,reply|mostly|pilot,easy
simple,đơn giản,expression|fresh|single,easy
since,từ,fan|column|serious,easy
singing,hát,react|background|pub,easy
single,đơn,repair|industry|available,easy
sir,thưa ngài,fair|manner|closed,easy
site,địa điểm,lab|increase|exact,easy
size,kích cỡ,since|passenger|pack,easy
ski,trượt tuyết,protect|mathematics|united,easy
skiing,trượt tuyết,connect|based|driving,easy
skin,da,possession|completely|character,easy
sky,bầu trời,pilot|necessary|act,easy
sleep,ngủ,argue|continent|low,easy
slowly,chậm,method|straight|thief,easy
smartphone,điện thoại thông minh,wish|rubbish|lift,easy
smell,mùi,understanding|although|teenage,easy
smile,nụ cười,bowl|towards|engine,easy
smoke,khói,independent|loudly|sleep,easy
smoking,hút thuốc,surprised|kid|may,easy
soap,xà phòng,cross|god|railway,easy
soccer,bóng đá,biology|arrange|response,easy
social,xã hội,community|attention|reception,easy
society,xã hội,stay|beat|furniture,easy
sock,tất,might|later|refer,easy
soft,mềm mại,nearly|connected|nervous,easy
soldier,lính,predict|birth|variety,easy
solution,giải pháp,solve|crowded|recipe,easy
solve,gỡ rối,skiing|businessman|electronic,easy
somewhere,ở đâu đó,wild|first|appearance,easy
sort,loại,recently|sleep|wash,easy
source,nguồn,pleased|dentist|context,easy
speaker,diễn giả,factor|advertise|flat,easy
specific,cụ thể,kid|rest|virus,easy
speech,lời nói,report|speed|pop,easy
speed,tốc độ,maths|his|touch,easy
spider,nhện,fair|purpose|law,easy
spoon,thìa,hers|level|cook,easy
square,quảng trường,knee|progress|button,easy
stage,sân khấu,twin|pain|appearance,easy
stair,cầu thang,whole|pick|petrol,easy
stamp,con tem,case|text|easily,easy
star,ngôi sao,asleep|train|fear,easy
start,bắt đầu,survey|role|smell,easy
state,tình trạng,fly|pick|solution,easy
stay,ở lại,whose|traveller|architecture,easy
steal,ăn cắp,count|neck|virus,easy
step,bước chân,headache|finish|belt,easy
stomach,cái bụng,season|opportunity|electrical,easy
stone,cục đá,race|individual|jewellery,easy
store,cửa hàng,advertising|program|may,easy
storm,bão,regular|everyday|drama,easy
straight,thẳng,author|furniture|among,easy
strange,lạ lùng,option|mobile|any more,easy
strategy,chiến lược,score|top|any more,easy
stress,nhấn mạnh,knee|advertising|traditional,easy
structure,kết cấu,employ|used|upstairs,easy
stupid,ngốc nghếch,unfortunately|protect|2,easy
succeed,thành công,fish|broken|hill,easy
successful,thành công,creative|certain|greet,easy
such,như là,heat|driving|tradition,easy
suddenly,đột nhiên,compete|thick|past,easy
suggest,gợi ý,sure|serious|including,easy
suggestion,gợi ý,past|strategy|cycle,easy
suit,bộ đồ,repair|beat|certain,easy
support,ủng hộ,polite|fat|corner,easy
suppose,giả định,sense|unusual|understanding,easy
sure,Chắc chắn,run|flat|network,easy
surprise,sự ngạc nhiên,shall|stamp|star,easy
surprised,ngạc nhiên,musical|last|athlete,easy
surprising,ngạc nhiên,birth|chip|speech,easy
survey,sự khảo sát,develop|anybody|scared,easy
sweet,ngọt,term|laptop|achieve,easy
symbol,biểu tượng,tour|careful|king,easy
system,hệ thống,best|itself|survey,easy
tablet,viên thuốc,pattern|suggestion|finally,easy
talk,nói chuyện,rock|cook|blow,easy
target,mục tiêu,target|designer|war,easy
task,nhiệm vụ,neck|stupid|question,easy
taste,nếm,role|none|diary,easy
teaching,giảng dạy,distance|stair|scary,easy
technology,công nghệ,apply|biology|involve,easy
teenage,thiếu niên,gate|noisy|enormous,easy
temperature,nhiệt độ,attend|differently|sure,easy
term,thuật ngữ,impossible|disease|permission,easy
text,chữ,wet|error|image,easy
themselves,chính họ,crowd|route|dark,easy
thick,dày,wait|safe|after,easy
thief,tên trộm,hope|stage|skin,easy
thin,gầy,error|silver|specific,easy
thinking,suy nghĩ,pattern|hide|behaviour,easy
third,thứ ba,king|refer|suppose,easy
thought,nghĩ,professional|star|guest,easy
throw,ném,feed|finger|produce,easy
tidy,ngăn nắp,used|advertisement|degree,easy
tie,cà vạt,might|public|united,easy
tip,mẹo,following|surprising|accident,easy
tool,dụng cụ,steal|goal|medicine,easy
top,đứng đầu,relationship|bin|roof,easy
touch,chạm,trouble|instead|wild,easy
tour,chuyến du lịch,active|suppose|spider,easy
tourism,du lịch,hurt|environment|such,easy
towards,đối với,normal|extremely|sailing,easy
towel,cái khăn lau,have|polite|lawyer,easy
tower,tháp,beef|finish|discussion,easy
toy,đồ chơi,towel|rubbish|react,easy
track,theo dõi,choice|all right|arrange,easy
tradition,truyền thống,ring1|stamp|castle,easy
traditional,truyền thống,half|reach|birth,easy
train,xe lửa,major|original|identify,easy
trainer,huấn luyện viên,focus|lady|fortunately,easy
training,đào tạo,bridge|route|lift,easy
transport,chuyên chở,along|bit|comfortable,easy
traveller,du khách,publish|check|medicine,easy
trouble,rắc rối,sock|process|neither,easy
truck,xe tải,technology|top|everyday,easy
twin,sinh đôi,yet|empty|mathematics,easy
typical,đặc trưng,term|process|fail,easy
underground,bí mật,camping|hero|involve,easy
understanding,hiểu biết,speed|comfortable|comfortable,easy
unfortunately,Không may,surprising|camp|hers,easy
unhappy,không vui,between|moon|worst,easy
uniform,đồng phục,count|process|crowd,easy
unit,đơn vị,adult|camp|celebrate,easy
united,thống nhất,disaster|quantity|connected,easy
unusual,bất thường,worst|except|shall,easy
upstairs,tầng trên,comfortable|biology|advantage,easy
use,sử dụng,final|comedy|recognize,easy
used,đã sử dụng,secret|double|death,easy
user,người dùng,wow|gold|record,easy
usual,thường,borrow|dead|use,easy
valley,thung lũng,good|option|slowly,easy
van,xe tải,hold|palace|network,easy
variety,đa dạng,shout|scared|deal,easy
vehicle,phương tiện giao thông,support|disease|plastic,easy
view,xem,past|firstly|employer,easy
virus,vi-rút,screen|gold|thought,easy
voice,tiếng nói,wood|knock|quietly,easy
wait,Chờ đợi,lifestyle|dream|first,easy
war,chiến tranh,condition|rise|vehicle,easy
wash,rửa,active|nowhere|secretary,easy
washing,giặt giũ,celebrity|rather|later,easy
wave,sóng,exactly|specific|all,easy
weak,yếu đuối,thought|speech|designer,easy
web,trang web,musician|technology|brain,easy
wedding,lễ cưới,singing|repair|director,easy
weight,cân nặng,distance|wedding|population,easy
welcome,Chào mừng,drug|necessary|height,easy
wet,ướt,musical|plant|especially,easy
wheel,bánh xe,protect|bean|ancient,easy
while,trong khi,shoulder|cook|condition,easy
whole,trọn,usual|earth|prison,easy
whose,của ai,competition|architect|chat,easy
wide,rộng,jump|smile|image,easy
wild,hoang dã,whole|earth|researcher,easy
wind,gió,double|ourselves|cigarette,easy
winner,người chiến thắng,voice|happily|remove,easy
wish,ước,continent|forest|outside,easy
wood,gỗ,metal|cry|award,easy
wooden,gỗ,unit|hero|ordinary,easy
working,đang làm việc,survey|advertising|bean,easy
worried,lo lắng,rude|lock|according,easy
worry,lo lắng,onto|musician|season,easy
worse,tệ hơn,data|celebrity|final,easy
worst,tồi tệ nhất,attractive|reply|evidence,easy
wow,Ồ,moon|suddenly|fiction,easy
yet,chưa,dead|appearance|while,easy
yours,của bạn,user|pick|invitation,easy
zero,số không,last|own|pain,easy
absolutely,tuyệt đối,cloth|widely|volunteer,medium
academic,học thuật,print|absolute|champion,medium
access,truy cập,income|tear|origin,medium
accommodation,chỗ ở,necessarily|envelope|apology,medium
account,tài khoản,application|tend|supply,medium
achievement,thành tích,bitter|generally|private,medium
act,hành động,similarly|investment|worth,medium
ad,quảng cáo,folk|assistance|pleasure,medium
addition,phép cộng,complaint|pupil|represent,medium
admire,ngưỡng mộ,catch|highlight|make,medium
admit,thừa nhận,civil|charge|owe,medium
advanced,trình độ cao,sensible|dust|audio,medium
advise,khuyên nhủ,flexible|step|motor,medium
afford,đủ khả năng,negative|scale|sample,medium
age,tuổi,cancer|following|coin,medium
aged,tuổi già,sample|security|decade,medium
agent,đại lý,mental|massive|frightened,medium
agreement,hiệp định,commit|crisis|necessarily,medium
ahead,phía trước,suit|financial|nation,medium
aim,mục tiêu,enable|visual|assume,medium
alarm,báo thức,race|rubber|successfully,medium
album,album,investigation|affair|fur,medium
alcohol,rượu bia,alcoholic|privacy|silk,medium
alcoholic,rượu,screen|marriage|phenomenon,medium
alternative,thay thế,practical|title|tough,medium
amazed,ngạc nhiên,elsewhere|facility|accommodation,medium
ambition,tham vọng,environmental|spirit|county,medium
ambitious,tham vọng,branch|imagination|tough,medium
analyse,phân tích,establish|rise|tank,medium
analysis,Phân tích,investigate|episode|aggressive,medium
announce,thông báo,evaluate|nuclear|proper,medium
announcement,thông báo,intention|water|contrast,medium
annoy,làm phiền,injure|apparently|convey,medium
annoyed,khó chịu,convert|curious|load,medium
annoying,khó chịu,compound|deliberately|robot,medium
apart,riêng biệt,affordable|conflict|producer,medium
apologize,xin lỗi,spending|afterwards|once,medium
application,ứng dụng,budget|acquire|summarize,medium
appointment,cuộc hẹn,determined|volunteer|typically,medium
appreciate,đánh giá,powerful|sort|curious,medium
approximately,khoảng,medium|successfully|reflect,medium
arrest,bắt giữ,circumstance|consume|propose,medium
arrival,đến,poet|distinct|diagram,medium
assignment,phân công,engaged|reaction|border,medium
assist,hỗ trợ,citizen|unable|stick,medium
atmosphere,bầu không khí,opposed|flexible|current,medium
attach,gắn,calculate|following|stable,medium
attitude,thái độ,actual|tend|attract,medium
attract,thu hút,certificate|directly|pipe,medium
attraction,sự thu hút,summary|multiple|sculpture,medium
authority,thẩm quyền,directly|rely|flour,medium
average,trung bình,negative|sort|relation,medium
award,phần thưởng,addition|routine|reach,medium
aware,nhận thức,basket|industrial|studio,medium
backwards,ngược lại,viewer|range|script,medium
bake,nướng,locate|excitement|exploration,medium
balance,THĂNG BẰNG,mission|shocked|hate,medium
ban,cấm,ugly|term|chief,medium
bank,ngân hàng,psychologist|delight|grant,medium
base,căn cứ,smart|current|positive,medium
basic,nền tảng,daily|rule|talented,medium
basis,cơ sở,cool|pitch|comparative,medium
battery,ắc quy,immigrant|deeply|accountant,medium
battle,trận đánh,elementary|double|development,medium
beauty,sắc đẹp,outdoors|upper|erupt,medium
bee,con ong,safety|basically|frame,medium
belief,sự tin tưởng,step|current|psychology,medium
bell,chuông,cheerful|AIDS|sentence,medium
bend,uốn cong,obligation|lay|transport,medium
benefit,lợi ích,coloured|trick|hurt,medium
better,tốt hơn,council|meanwhile|acid,medium
bite,cắn,definition|defeat|prepared,medium
block,khối,dislike|double|requirement,medium
board,Cái bảng,folk|intend|host,medium
bomb,bom,bid|spot|tight,medium
border,ranh giới,demonstrate|infection|deliver,medium
bother,làm phiền,bear|view|determined,medium
branch,chi nhánh,humour|crop|approach,medium
brand,thương hiệu,2 adj|appointment|estate,medium
brave,can đảm,comprehensive|matching|impact,medium
breath,hơi thở,inform|patient|anger,medium
breathe,thở,act|competitor|tour,medium
breathing,thở,marketing|charge|practical,medium
bride,cô dâu,upset|peaceful|back,medium
bubble,bong bóng,barely|flexible|emotionally,medium
bury,chôn,spiritual|prime|following,medium
by,qua,relaxing|angle|technical,medium
calm,điềm tĩnh,intense|lean|highly,medium
campaign,chiến dịch,survive|strict|now,medium
campus,khuôn viên đại học,combination|session|stuff,medium
candidate,ứng viên,current|outdoors|dairy,medium
cap,mũ,achievement|cute|brand,medium
captain,đội trưởng,hearing|threaten|dare,medium
careless,bất cẩn,battery|throughout|explosion,medium
category,loại,bank|examine|vast,medium
ceiling,trần nhà,reservation|defence|shape,medium
celebration,lễ ăn mừng,sticky|exhibition|update,medium
central,trung tâm,licence|reality|script,medium
centre,trung tâm,consult|go|standard,medium
ceremony,lễ,stuff|proud|live,medium
chain,xích,ours|angle|tight,medium
challenge,thử thách,used|low|scale,medium
champion,nhà vô địch,agriculture|criterion|stick,medium
channel,kênh,amusing|regret|national,medium
chapter,chương,confusion|strike|trade,medium
charge,thù lao,agenda|plus|credit,medium
cheap,rẻ,casual|elderly|stick,medium
cheat,gian lận,elsewhere|album|except,medium
cheerful,vui vẻ,illegal|defend|privacy,medium
chemical,hóa chất,fuel|spoken|blind,medium
chest,ngực,yard|intend|mild,medium
childhood,thời thơ ấu,prepared|adapt|translate,medium
claim,khẳng định,priest|complex|battle,medium
clause,điều khoản,permit|speed|edition,medium
clear,thông thoáng,confidence|indicate|somewhat,medium
click,nhấp chuột,hunting|intelligence|contemporary,medium
client,khách hàng,disappointed|seed|investigation,medium
climb,leo,current|eliminate|concept,medium
close,đóng,injured|trouble|percentage,medium
2 adv,2 quảng cáo,empty|pregnant|landscape,medium
cloth,vải,aged|upwards|press,medium
clue,manh mối,intention|prince|destruction,medium
coach,huấn luyện viên,gang|exploration|opponent,medium
coal,than đá,kick|licence|translation,medium
coin,đồng xu,artificial|setting|badge,medium
collection,bộ sưu tập,alter|shooting|institution,medium
coloured,màu sắc,regulation|govern|rescue,medium
combine,kết hợp,switch|income|comprise,medium
comment,bình luận,sexual|client|blanket,medium
commercial,thuộc về thương mại,warning|multiple|weakness,medium
commit,làm,survive|frozen|ghost,medium
communication,giao tiếp,slip|growth|phenomenon,medium
comparison,so sánh,initial|package|technical,medium
competitor,đối thủ cạnh tranh,venue|cute|establish,medium
competitive,cạnh tranh,dare|attachment|accent,medium
complaint,lời phàn nàn,emotion|automatic|sensible,medium
complex,tổ hợp,leading|friendship|flood,medium
concentrate,tập trung,slightly|temporary|origin,medium
conclude,kết luận,slope|powder|elementary,medium
conclusion,Phần kết luận,consistently|drum|economic,medium
confident,tự tin,accompany|confusing|assume,medium
confirm,xác nhận,key|philosophy|import,medium
confuse,bối rối,pan|represent|concentrate,medium
confused,bối rối,league|version|relaxing,medium
connection,sự liên quan,electronics|cheek|emerge,medium
consequence,kết quả,tail|mineral|strict,medium
consist,bao gồm,following|string|painful,medium
consume,tiêu thụ,convenient|rid|debate,medium
consumer,người tiêu dùng,burn|resist|bet,medium
contact,liên hệ,summary|beg|structure,medium
container,thùng chứa,update|clause|religious,medium
content,nội dung,connection|currently|fry,medium
continuous,liên tục,counter|term|bacteria,medium
contrast,sự tương phản,smooth|servant|negative,medium
convenient,thuận lợi,conservative|setting|exchange,medium
convince,thuyết phục,encourage|existence|phenomenon,medium
cool,mát mẻ,file|performance|astonishing,medium
costume,trang phục,defend|dependent|contest,medium
cottage,ngôi nhà tranh,operation|repeat|judgement,medium
cotton,bông,producer|illustration|nor,medium
count,đếm,detect|value|downwards,medium
countryside,nông thôn,judge|offence|wealthy,medium
court,tòa án,disc|contact|educational,medium
cover,che phủ,perfectly|encounter|demand,medium
covered,được bảo hiểm,cure|prayer|pose,medium
cream,kem,channel|display|divide,medium
criminal,tội phạm,obtain|realistic|military,medium
cruel,tàn nhẫn,fitness|benefit|current,medium
cultural,thuộc văn hóa,used|layer|concrete,medium
currency,tiền tệ,trust|solid|coin,medium
current,hiện hành,environmental|trouble|push,medium
currently,Hiện nay,sweep|briefly|queue,medium
curtain,tấm màn,realistic|association|standard,medium
custom,phong tục,division|essentially|apologize,medium
cut,cắt,affordable|graduate|finding,medium
daily,hằng ngày,commit|survey|discount,medium
damage,hư hại,exceed|convert|downtown,medium
deal,thỏa thuận,decline|secondary|feather,medium
decade,thập kỷ,pleasant|possess|sailor,medium
decorate,trang trí,damage|conscious|still,medium
deep,sâu,keyboard|try|punish,medium
define,định nghĩa,unique|grant|responsibility,medium
definite,chắc chắn,project|elegant|legal,medium
definition,sự định nghĩa,crew|narrow|label,medium
deliver,giao,accountant|fashionable|council,medium
departure,sự khởi hành,unlike|carbon|ambitious,medium
despite,cho dù,seek|force|print,medium
destination,điểm đến,since|satisfy|disorder,medium
determine,quyết tâm,darkness|erupt|file,medium
determined,xác định,afterwards|coloured|rough,medium
development,phát triển,bitter|authority|feel,medium
diagram,sơ đồ,odd|attract|cut,medium
diamond,kim cương,animation|resident|blind,medium
difficulty,khó khăn,charge|enthusiastic|hurricane,medium
direct,trực tiếp,wool|mistake|advanced,medium
directly,trực tiếp,automatically|breathing|set,medium
dirt,đất,stable|tin|ours,medium
disadvantage,điều bất lợi,better|theirs|administration,medium
disappointed,thất vọng,coincidence|bomb|consist,medium
disappointing,thất vọng,pitch|competitor|dive,medium
discount,giảm giá,literature|roll|permanent,medium
dislike,không thích,disappoint|asset|highlight,medium
divide,chia,function|critical|slide,medium
documentary,phim tài liệu,development|directly|disagreement,medium
donate,quyên tặng,curve|launch|hunt,medium
double,gấp đôi,efficient|safety|democratic,medium
doubt,nghi ngờ,transfer|ashamed|cancel,medium
dressed,mặc quần áo,faith|steep|overall,medium
drop,làm rơi,declare|harm|income,medium
drum,cái trống,annoying|flag|hold,medium
drunk,say rượu,possibly|aggressive|commercial,medium
due,quá hạn,impressive|routine|characteristic,medium
dust,bụi,disability|evaluation|chair,medium
duty,nhiệm vụ,extraordinary|consumer|pin,medium
earthquake,động đất,religious|path|issue,medium
eastern,phía đông,passion|emission|nail,medium
economic,thuộc kinh tế,offend|decrease|calm,medium
economy,kinh tế,consumer|approve|bargain,medium
edge,bờ rìa,unknown|destination|resident,medium
editor,biên tập viên,academic|calm|election,medium
educate,giáo dục,wind|coal|authority,medium
educated,được giáo dục,promote|concentration|concentrate,medium
educational,giáo dục,sample|employment|blow,medium
effective,hiệu quả,sympathy|perfectly|candle,medium
effectively,có hiệu quả,wire|apparent|mention,medium
effort,cố gắng,cure|rope|balloon,medium
election,bầu cử,evolution|standard|dozen,medium
element,yếu tố,priority|minority|transport,medium
embarrassed,lúng túng,procedure|graduate|convenience,medium
embarrassing,xấu hổ,primary|counter|laboratory,medium
emergency,khẩn cấp,illustration|summary|bias,medium
emotion,cảm xúc,substance|basket|coal,medium
employment,thuê người làm,mass|ambition|massive,medium
empty,trống,chart|gather|bear,medium
encourage,khuyến khích,sense|atmosphere|largely,medium
enemy,kẻ thù,curious|grant|bank,medium
engaged,đính hôn,feature|feedback|plenty,medium
engineering,kỹ thuật,accurately|competitor|mystery,medium
entertain,giải trí,economic|swear|armed,medium
entertainment,sự giải trí,attempt|sample|spicy,medium
entrance,cổng vào,odd|state|curtain,medium
entry,lối vào,wonder|gain|creativity,medium
environmental,môi trường,offend|tight|contact,medium
episode,tập phim,length|pregnant|whenever,medium
equal,bình đẳng,trouble|helicopter|indeed,medium
equally,như nhau,intended|regard|ambulance,medium
escape,bỏ trốn,guard|ancestor|entry,medium
essential,thiết yếu,ideal|trouble|landscape,medium
eventually,sau cùng,organized|arms|edition,medium
examine,nghiên cứu,multiply|upwards|poetry,medium
except,ngoại trừ,accomplish|frightening|clause,medium
exchange,trao đổi,flash|priority|consumption,medium
excitement,sự phấn khích,edge|imagination|throughout,medium
exhibition,triển lãm,session|certificate|opposition,medium
expand,mở rộng,tyre|label|relief,medium
expected,hy vọng,crop|contract|dare,medium
expedition,cuộc thám hiểm,concerned|chain|high,medium
experience,kinh nghiệm,era|sudden|poverty,medium
experienced,có kinh nghiệm,shocked|tape|exhibition,medium
experiment,cuộc thí nghiệm,delivery|flour|opponent,medium
explode,nổ,poison|wonder|protection,medium
explore,khám phá,approval|artistic|contest,medium
explosion,vụ nổ,brand|encounter|sympathy,medium
export,xuất khẩu,load|reduction|surface,medium
extra,thêm,closely|secondary|corporate,medium
face,khuôn mặt,survive|possibly|tend,medium
fairly,khá,dull|delivery|basis,medium
familiar,thân thuộc,composer|breast|departure,medium
fancy,si mê,place|analyse|dramatically,medium
far,xa,pan|sharp|broadcast,medium
fascinating,lôi cuốn,broadly|impression|except,medium
fashionable,thời trang,silent|corporate|slide,medium
fasten,buộc chặt,downtown|switch|protest,medium
favour,sự ưu ái,transform|wherever|senior,medium
fear,nỗi sợ,deck|sincere|better,medium
feature,tính năng,surface|labour|tape,medium
fence,hàng rào,detect|equivalent|oppose,medium
fighting,Chiến đấu,imply|contemporary|perfectly,medium
file,tài liệu,shelter|amount|auction,medium
financial,tài chính,backwards|canal|stranger,medium
fire,ngọn lửa,controversy|disabled|coal,medium
fitness,sự thích hợp,sweep|custom|activate,medium
fixed,đã sửa,approach|wing|feather,medium
flag,lá cờ,arrest|gentleman|occur,medium
flood,lụt,disorder|automatic|awkward,medium
flour,bột mì,tank|string|elegant,medium
flow,chảy,frequently|battle|block,medium
fold,nếp gấp,bias|view|fold,medium
folk,người dân,set|embarrassing|employment,medium
following,tiếp theo,detail|apologize|impatient,medium
force,lực lượng,successfully|persuade|reasonable,medium
forever,mãi mãi,dressed|industrial|historic,medium
frame,khung,wind|access|stick,medium
freeze,đông cứng,upper|prime|bother,medium
frequently,thường xuyên,emergency|gang|talented,medium
friendship,tình bạn,dramatically|distant|willing,medium
frighten,làm sợ hãi,barrier|extraordinary|safety,medium
frightened,sợ sệt,consumption|excuse|industrial,medium
frightening,đáng sợ,spicy|anger|signal,medium
frozen,đông lạnh,disappointment|breast|operation,medium
fry,chiên rán,shy|unnecessary|favour,medium
fuel,nhiên liệu,happiness|chain|efficient,medium
function,chức năng,broad|threaten|necessarily,medium
fur,lông thú,comparative|academic|judge,medium
further,hơn nữa,proof|discount|frequency,medium
garage,ga-ra,divide|capacity|latest,medium
gather,tập trung,afterwards|gather|layer,medium
generally,nói chung là,sort|instance|collection,medium
generation,thế hệ,power|cope|financial,medium
generous,hào phóng,prospect|massive|consideration,medium
gentle,dịu dàng,aged|click|grand,medium
gentleman,quý ông,bargain|affordable|literature,medium
ghost,bóng ma,political|kiss|confuse,medium
giant,người khổng lồ,conduct|slice|generate,medium
glad,vui mừng,costume|forgive|concentration,medium
global,toàn cầu,blow|kick|bet,medium
glove,găng tay,concentrate|approval|compound,medium
go,đi,experiment|democratic|tip,medium
goods,hàng hóa,access|net|script,medium
grade,cấp,row|emerge|vote,medium
graduate,tốt nghiệp,southern|cover|set,medium
grain,ngũ cốc,switch|enquiry|professional,medium
grateful,tri ân,confirm|purchase|typically,medium
growth,sự phát triển,wrong|transition|loan,medium
guard,bảo vệ,ad|racing|wage,medium
guilty,tội lỗi,facility|criticism|screen,medium
hand,tay,shooting|advanced|emphasize,medium
hang,treo,theirs|episode|apology,medium
happiness,niềm hạnh phúc,tough|stadium|craft,medium
hardly,khắc nghiệt,disturb|double|assure,medium
hate,ghét,eventually|deal|psychologist,medium
head,cái đầu,stock|container|comment,medium
headline,tiêu đề,medium|following|smart,medium
heating,sưởi ấm,relaxed|suspect|bunch,medium
heavily,rất nhiều,conclusion|divide|pure,medium
helicopter,trực thăng,pray|exploration|finance,medium
highlight,điểm nổi bật,approximately|committee|observation,medium
highly,rất cao,acknowledge|primary|clerk,medium
hire,thuê,consultant|battle|creation,medium
historic,lịch sử,sector|category|shift,medium
historical,lịch sử,rope|pose|strike,medium
honest,trung thực,handle|mineral|tear,medium
horrible,tệ hại,evident|insurance|grand,medium
horror,kinh dị,category|burn|bound,medium
host,chủ nhà,lay|coal|entrepreneur,medium
hunt,săn bắn,glove|attach|living,medium
hurricane,cơn bão,impose|shooting|talented,medium
hurry,sự vội vàng,once|passion|gang,medium
identity,danh tính,purchase|combine|encounter,medium
ignore,phớt lờ,sink|regulation|point,medium
illegal,bất hợp pháp,domestic|dust|pull,medium
imaginary,tưởng tượng,tough|demand|tunnel,medium
immediate,ngay lập tức,enjoyable|prove|guard,medium
immigrant,người nhập cư,hell|emission|favour,medium
impact,sự va chạm,mess|transport|legal,medium
import,nhập khẩu,development|civilization|courage,medium
importance,tầm quan trọng,effectively|1 n|positive,medium
impression,ấn tượng,sight|attach|judge,medium
impressive,ấn tượng,cottage|translate|sharp,medium
improvement,sự cải tiến,principle|proud|heating,medium
incredibly,vô cùng,ultimately|pleasure|press,medium
indeed,thực vậy,basement|blanket|risk,medium
indicate,biểu thị,feather|chair|divorce,medium
indirect,gián tiếp,ambulance|loan|completion,medium
indoor,trong nhà,original|association|regional,medium
indoors,trong nhà,dust|except|ceiling,medium
influence,ảnh hưởng,personally|cream|require,medium
ingredient,nguyên liệu,advance|crack|round,medium
injure,làm tổn thương,politics|bee|occur,medium
injured,bị thương,admit|cancer|automatically,medium
innocent,vô tội,represent|acknowledge|pin,medium
intelligence,trí thông minh,intend|expedition|try,medium
intend,có ý định,by|deliver|bargain,medium
intention,chủ đích,confess|universe|distinct,medium
invest,đầu tư,original|asset|path,medium
