sentence_left,sentence_right,difficulty
"regret","to feel sorry or sad about something that has happened, or about something that you have done",easy
"ridiculous","silly or unreasonable and deserving to be laughed at",easy
"romantic","involving love, or making you have feelings of love",easy
"rude","not polite",easy
"sense of humour","the ability to laugh at things and recognize when they are funny",easy
"shy","nervous and embarrassed in the company of other people, especially people who you do not know",easy
"stress","a worried or nervous feeling that makes you unable to relax, or a situation that makes you feel like this",easy
"tell a joke","say a short story with a funny ending to make people laugh",easy
"upset","to make someone feel sad, worried, or angry",easy
"accident","something that happens without being planned",easy
"assume","to believe that something is true, even though you cannot be certain",easy
"cause","to make something happen, usually something bad",easy
"claim","to say that something is true, even though there is no definite proof",easy
"complain","to say that you are not happy about something",easy
"convince","to make someone believe that something is true; to persuade someone to do something",easy
"criticise","to say what you think is wrong or bad about something or someone",easy
"deny","to say that something is not true",easy
"discussion","a conversation about something important",easy
"doubt","to think that something is probably not true, probably does not exist, or probably will not happen",easy
"encourage","to give someone confidence or hope",easy
"get rid of","to throw away, give away, or sell something that you no longer want or need",easy
"gossip","to talk about other people or about things that are not important",easy
"ideal","perfect",easy
"insult","to say or do something that is offensive",easy
"investigate","to try to find out all the facts about something in order to learn the truth about it",easy
"negative","harmful or bad",easy
"positive","a positive experience, situation, result, etc is a good one",easy
"praise","to express strong approval or admiration for someone or something",easy
"pretend","to behave in a particular way because you want someone to believe that something is true when it is not",easy
"purpose","an aim or use",easy
"refuse","to say that you will not do or accept something, or will not let someone do something",easy
"result","to cause or produce something",easy
"rumour","something that people are saying that may or may not be true",easy
"sensible","reasonable and practical",easy
"serious","bad or dangerous enough to make you worried",easy
"spare","kept in addition to other similar things, so that you can use it if you need it",easy
"theory","an idea that you believe is true, although you have no proof",easy
"thought","a word, idea, or image that comes into your mind",easy
"warn","to tell someone about a possible problem or danger, so that they can avoid it or deal with it",easy
"There's a big difference","between an ordinary radio and a digital radio.",easy
"Use my credit card to pay","for the tickets and give me the cash later.",easy
"Jim spent all his money","on playing video games.",easy
"I lent my new computer game","to Daniel and I don't think I'll get it back for a while!",easy
"I saw an advertisement","for a watch that also plays TV programmes.",easy
"There's something wrong","with the DVD player we bought last week.",easy
"You have to connect the computer","to the power or it won't work.",easy
"I am going to get married in June.","Are you? Congratulations!",easy
"Are we still going to the cinema on Saturday night?","I don't know yet. I'll ring you on Friday.",easy
"I'm having a party tomorrow night.","Are you going to ask Jill to come too?",easy
"I'm taking the kids to the circus tomorrow afternoon.","Are you? I'm sure they'll love it!",easy
"I think","I'm going to buy the new Racetrack CD.",medium
"I'm thinking","of getting Dad a CD for his birthday.",medium
"Phil's looking","for his glasses. Have you seen them?",medium
"Phil looks","like he needs a holiday!",medium
"Claire has","darker hair than her sister.",medium
"Claire is having","a haircut at the moment.",medium
"Andy is","not old enough to drive a car.",medium
"Andy is being","very annoying at the moment!",medium
"catch up with","reach the same point/level as",medium
"check in","register at a hotel or an airport",medium
"check out","leave a hotel; investigate",medium
"drop off","let someone get out of a vehicle; fall asleep",medium
"get back","return from a place",medium
"keep up with","stay at the same point/level as",medium
"make for","go in the direction of",medium
"pull in","stop by the side of the road in a car",medium
"run over","hit with a car",medium
"see off","go to a train station, etc, to see someone leave",medium
"set out/off","start a journey",medium
"turn round","go back in the opposite direction",medium
"bring forward","change the date/time of an event so it happens earlier",medium
"get round to","start (after planning to do sth for a long time)",medium
"get up to","do; do sth you should not do",medium
"go in for","enter (a competition, etc); like",medium
"knock out","defeat and remove from a competition; make unconscious",medium
"look out","be careful",medium
"pull out","stop being involved in an activity",medium
"put up with","tolerate",medium
"take to","start (as a habit)",medium
"I'm not very fond","of playing in goal.",medium
"She's interested","in playing for the school team.",medium
"You should concentrate","on getting fit.",medium
"I used to find it difficult","to find enough time to have any hobbies.",medium
"Let's listen","to what the coach thinks first.",medium
"We stopped","to try to find the golf balls we'd lost.",medium
"The bad weather stopped us","from finishing the game.",medium
"I refuse to put","up with people who cheat at games.",medium
"The current champion was knocked","out in the second round of the competition.",medium
"I used to love basketball, but I've gone","off team sports lately.",medium
"The trainer asked us to carry","on with the activity while he answered the phone.",medium
"The organisers had to bring","the race forward by a week.",medium
"You should think about taking","up a martial art, to defend yourself.",medium
"Although she was very young, Olivia took","to swimming as soon as she tried it.",medium
"Rob had to pull","out of the race because of a last minute injury.",medium
"carry out","perform an experiment, etc",medium
"come off","succeed",medium
"come up with","think of (an idea, a plan, etc)",medium
"give off","produce sth such as heat or a smell",medium
"narrow down","reduce the number of possibilities",medium
"plug in","connect to the electricity supply",medium
"put through","connect by phone",medium
"turn into","change into sth different",medium
"Alex's electricity was cut","off because she forgot to pay the bill.",medium
"Wear a mask because these chemicals give","off fumes that can be harmful.",medium
"I'm writing an essay and I need to find","out who discovered penicillin.",medium
"I was pleased that our gamble came","off and the experiment was a success.",medium
"Alchemists spent years trying to turn","metals such as lead into gold.",medium
"Your teacher says you've really come","on in physics over the last year.",medium
"The fax machine has broken","down, so I'm afraid you'll have to wait until tomorrow.",medium
"A number of experiments have been carried","out by physicists which prove that time can speed up and slow down.",medium
"Whoever came","up with that idea should have won the Nobel Prize.",medium
"The electricity was cut","off for over three hours yesterday.",medium
"I'd like to find","out much more about technology in the Bronze Age.",medium
"This chemical gives","off a very nasty smell when it's heated.",medium
"Cancer treatments have come","on enormously in recent years.",medium
"I wonder if you could put me","through to the Radiology Department, please.",medium
"I'm quite busy so I've got","very little time to talk to you now.",medium
"Happily, we have had","very few complaints from hotel guests recently.",medium
"My dad just got a good job so we have","a little money for luxuries.",medium
"Pollution is improving now that","a few people recycle their rubbish.",medium
"My mum has lost her job so we have","little money for luxuries.",medium
"My lesson's been cancelled so I've got","a little time to talk to you now.",medium
"It's a shame that","few people recycle their rubbish.",medium
"Unfortunately, we have had","a few complaints from hotel guests recently.",medium
"flick through","turn and look at the pages of a magazine, etc quickly",medium
"go into","deal with sth in detail",medium
"hand out","give things to people in a group",medium
"make out","pretend that something is true; see, hear or understand sb or sth with difficulty",medium
"put forward","suggest",medium
"see through","recognise that sth is not true and not be tricked by it",medium
"stand out","be easy to see because of being different",medium
"ask after","ask for news about",medium
"fall for","fall in love with; believe (a lie/trick/etc)",medium
"look down on","think that you are better than",medium
"look up to","admire and respect",medium
"pass away","die",medium
"pick on","keep treating someone badly or unfairly",medium
"settle down","become calm after being upset, etc; stay in one place or get married and live quietly",medium
"stand up for","support in an argument or fight",medium
"take aback","surprise (usually in passive voice)",medium
"Last year, winter started so","suddenly that many people were taken by surprise.",medium
"Last winter, there were so","many storms that we had floods.",medium
"Last year, we had such","a cold winter that I had to sleep with a hat on!",medium
"Last winter, there was so","much snow that I skied nearly every day.",medium
"Last winter, there was such a lot of","snow that many wild animals died.",medium
"Last winter was so","cold that the water in the pipes froze.",medium
"back down","stop demanding sth, stop saying that you will do sth",medium
"break out","escape (from prison)",medium
"bring in","introduce a new law or system",medium
"chase after","follow sb/sth quickly in order to catch them",medium
"come forward","offer help or information",medium
"hand in","give to a person in authority",medium
"hold up","rob while threatening violence; delay",medium
"let off","give little or no punishment; make a bomb, etc explode",medium
"look into","investigate",medium
"make off","escape",medium
"take in","trick sb into believing sth that is not true",medium
"They accused me","of shoplifting.",medium
"Our next-door neighbour was arrested","for shoplifting.",medium
"Three people have been charged","with theft.",medium
"She denied","stealing the clothes.",medium
"I doubt whether","she's guilty.",medium
"I caught a glimpse","of someone shoplifting.",medium
"My friends made me","steal something from the shop.",medium
"She says she was made","to steal something from the shop.",medium
"It is illegal for","someone to steal something from a shop.",medium
"I heard that they're going to bring","in a law banning smoking in public places.",medium
"Police are appealing for members of the public to come","forward with any information they feel might be useful.",medium
"Nobody was convinced when the man claimed the gun had gone","off accidentally in his hand.",medium
"The policewoman started to take","down everything I was saying and I knew I was in serious trouble.",medium
"Lots of old people have been taken","in by this trick and have lost a lot of money.",medium
"Peterson was found guilty of holding","up the bank and was sentenced to five years in prison.",medium
"Many people get","away with serious crimes every day.",medium
"The policeman decided to let Shaun","off this time, but told him that he wouldn't be so lucky next time.",medium
"bring on","cause (an illness, etc)",medium
"come down with","start to suffer from a minor illness",medium
"come round/to","become conscious",medium
"feel up to","feel well enough to do",medium
"pass out","suddenly become unconscious",medium
"pull through","survive (a serious illness, etc)",medium
"wear off","stop being effective (for a drug, etc)",medium
"It is said that people who eat poorly are likely","to have health problems later in life.",medium
"Did you know that you can have your eyes operated","on with lasers these days?",medium
"I'm getting really tired of","telling my dad to give up smoking.",medium
"Why don't you try","going to the gym more often?",medium
"It really is worth","losing a bit of weight.",medium
"The Pattersons have decided to pull","out of our trip together because Angie's got a fever.",medium
"Mr Greene seems to find it difficult to get","on with people from other countries.",medium
"We haven't made a final decision, but we've narrowed it","down to France or Spain for this summer's holiday.",medium
"Dad thought it might be a good idea to look","up the train times on the Internet.",medium
"It seems that Matt has fallen","out with Dave over their holiday plans.",medium
"I think it was Bob who came","up with the idea of going to Poland.",medium
"The holiday started okay and then turned","into a bit of a nightmare when our luggage got lost.",medium
"drop in (on)","visit unexpectedly",medium
"get on for","be almost a particular time, number, age, etc",medium
"go/come round","go/come to sb's house to visit them",medium
"keep on","continue doing sth",medium
"run into","meet by chance",medium
"run out of","not have any left",medium
"try out","experiment with",medium
"turn out","develop in a particular way or have a particular result",medium
"I think this milk has gone","off so let's throw it away.",medium
"I ran","into Bob in the supermarket yesterday.",medium
"We've run out","of bread so could you go and get some?",medium
"Mum's trying","out a new recipe tonight!",medium
"It must be getting","on for dinner time.",medium
"We'd love you to come","round for dinner sometime.",medium
"This lasagne hasn't turned","out quite how I expected.",medium
"catch on","understand",medium
"come (a)round (to)","be persuaded to change your mind (about)",medium
"dawn on","if something dawns on you, you realise it for the first time",medium
"deal with","handle, cope with",medium
"drop out (of)","leave school, etc before you have finished a course",medium
"get at","try to express",medium
"get on with","continue doing",medium
"give in","stop making an effort to achieve sth difficult",medium
"sail through","do something or deal with something very easily",medium
"set out","explain, describe or arrange sth in a clear and detailed way",medium
"think over","consider",medium
"You've sent that letter I gave you,","haven't you?",medium
"You catch the bus to school,","don't you?",medium
"You won't tell anyone about this,","will you?",medium
"You're a friend of Charlie's,","aren't you?",medium
"You were living in Hong Kong then,","weren't you?",medium
"You never work more than you have to,","do you?",medium
"You made no effort to make friends with Darren,","did you?",medium
"You got Jimmy a cap for his birthday,","didn't you?",medium
"call for","require; need; demand",medium
"die down","become less noisy, powerful or active",medium
"face up to","accept sth and try to deal with it",medium
"get (sb) down","make sb feel sad or lose hope",medium
"put down to","suggest that sth is the result of",medium
"set in","start and be likely to continue for a while (for rain, winter, an economic depression, etc)",medium
"stand for","represent (for abbreviations and symbols); put up with",medium
"tear down","destroy or remove (for buildings, statues, etc)",medium
"bank on","depend on sth happening",medium
"come by","get sth, especially sth that is hard to get",medium
"come into","inherit",medium
"do without","live without (sth you can't afford)",medium
"get by","manage to survive (financially)",medium
"get through","use all of; finish",medium
"live on","use as a source of money",medium
"look round","examine (a place)",medium
"make up for","provide sth good, so that sth bad seems less important",medium
"put by","save an amount of money for the future",medium
"I can't believe they charged me","for using the hotel pool.",medium
"The old lady begged me","to give her some money.",medium
"I'll never forget","learning that I had the winning ticket.",medium
"My dad and my uncle always argue","about the economy.",medium
"I was shocked when the bank demanded","that I pay back my loan immediately.",medium
"We really can't afford","to buy a new fridge.",medium
"Debra paid the money","to the girl at the desk and left.",medium
"Sharon came","into some money when her aunt died.",medium
"I manage to put","a little money by each month.",medium
"You can bank","on house prices coming down soon.",medium
"I don't know how they can get","by on such a low salary.",medium
"If you could make","out the cheque to Peardrop Limited, that would be fine.",medium
"The shop's giving","away free software with every computer.",medium
"I'm saving","up to buy a new DVD player.",medium
"I don't know what we're going to live","on now I've lost my job.",medium
"come (a)round","happen again (for regular events)",medium
"count on","rely on; trust",medium
"drown out","prevent a sound from being heard by making a louder noise",medium
"get along (with)","have a good relationship (with)",medium
"go down (as)","be remembered for having done something",medium
"grow on","if sth grows on you, you start to like it more",medium
"name after","give sb or sth the same name as sb or sth else",medium
"show off","try to attract people's attention and make them admire you (usually used negatively)",medium
"take after","look or behave like an older relative",medium
"Although","Aesop's a vegetarian, he does occasionally eat fish.",medium
"Despite","being a vegetarian, Aesop does occasionally eat fish.",medium
"Despite the","fact that Aesop is a vegetarian, he does occasionally eat fish.",medium
"Aesop is a vegetarian,","although he does occasionally eat fish.",medium
"Despite his vegetarianism,","Aesop does occasionally eat fish.",medium
"In spite","of being a vegetarian, Aesop does occasionally eat fish.",medium
"Despite having","been a vegetarian for years, Aesop does occasionally eat fish.",medium
"Aesop is a vegetarian. However, he","does occasionally eat fish.",medium
"Aesop is a vegetarian. He does","occasionally eat fish, however.",medium
"do away with","get rid of",medium
"draw up","create (plans, etc)",medium
"dress up","put on fancy or unusual clothes",medium
"go over","repeat or think about again in order to understand completely",medium
"grow out of","develop from; become too big for",medium
"hand down","give something valuable to your children or grandchildren, usually when you die",medium
"line up","get/put into lines",medium
"pop in(to)","visit quickly or for a short time",medium
"show (a)round","take sb on a tour of a place",medium
"tear up","rip into pieces",medium
"wear out","become old and unusable",medium
"I'm just going to pop","into that new boutique for a few minutes.",medium
"I've grown","out of these shoes so my mum's going to get me some new ones.",medium
"I'd like to try","on that jacket you've got hanging in the window.",medium
"I never thought that skirts for men would catch","on, but they have!",medium
"We all lined","up and they took our measurements.",medium
"I'd take","off my shoes but I think my feet smell!",medium
"Let's all dress","up for the Halloween party!",medium
"back out","decide not to do sth you agreed to do",medium
"bring out","produce and start to sell a new product",medium
"close down","stop operating (for companies)",medium
"see through (to)","continue (or help to continue) to the end of sth unpleasant or difficult",medium
"see to","deal with",medium
"set to","start doing sth in a determined or enthusiastic way",medium
"slow down","decrease speed",medium
"speed up","increase speed",medium
"stand in for","do sb's job for them while they are not available",medium
"take on","start to employ; accept (work or responsibility)",medium
"I put a lot of effort","into writing this report.",medium
"They've made their decision","about who's going to get promoted.",medium
"It's not in your interest to","accept a pay cut.",medium
"The secretary's kept me","on hold for ages.",medium
"I don't know why you didn't apply","for that position.",medium
"I think we're all in agreement","on this, aren't we?",medium
"Dean's been out","of work for over two months now.",medium
"The shop hasn't been in","business long.",medium
"I'm glad you're finally taking an interest","in your work.",medium
"Jason lives fairly near his place of","work, doesn't he?",medium
"Ironworks Limited has closed","down and 400 people have lost their jobs.",medium
"Henry asked Janet to stand","in for him while he went into town.",medium
"Mr Carter asked me to see","to the orders while he spoke to a customer.",medium
"I heard that Bigburger have taken","over Cookright and plan to close some branches.",medium
"Roger says he never set","out to become a millionaire - it just happened!",medium
"When we can afford it, we're going to do","up the attic and turn it into a spare bedroom.",medium
"Jason's thinking of dropping","out of college and getting a job.",medium
"When the factory closed","down, hundreds of workers lost their jobs.",medium
"They should do away","with cheque books now that everyone has a credit card.",medium
"Let me take you out to dinner to make","up for forgetting your birthday.",medium
"I never wanted a mortgage but I'm coming","round to the idea now.",medium
"Cynthia's decided to set","up a small business producing temporary tattoos.",medium
"voyage","a long journey, especially on a ship",medium
"travel","the activity of travelling",medium
"excursion","a short journey that you make for pleasure",medium
"view","the things that you can see from a particular place",medium
"sight","a person or a thing that you see that has a particular feature",medium
"world","the planet that we live on",medium
"go","to move or travel to a place that is away from where you are now",medium
"keep","to continue to have or own something",medium
"arrive","to reach a place",medium
"live","to have your home in a particular place",medium
"stay","to live or remain in a place for a while as a guest or visitor",medium
"border","the official line that separates two countries or regions",medium
"edge","the part of something that is furthest from its centre",medium
"line","a long thin mark on the surface of something",medium
"earth","the land on which we live",medium
"area","a part of a place or building",medium
"territory","an area of land that is controlled by a particular country, leader or army",medium
"season","one of the four periods into which the year is divided according to the weather",medium
"period","an amount of time",medium
"fare","the money that you pay for a journey",medium
"ticket","a piece of paper that shows that you have paid to do something such as travel on a train, bus, plane, etc",medium
"miss","to be too late for something such as a train or bus",medium
"lose","to no longer have something",medium
"length","a measurement of how long something is in size",medium
"distance","the amount of space between two people or things",medium
"guide","to show someone where to go by going with them",medium
"lead","to take someone to a place by going there with them, usually in front of them",medium
"native","living in a particular country or area since birth",medium
"home (town)","the city or town where you lived as a child",medium
"pitch","a flat area of ground that is used for playing sports on",medium
"track","a piece of ground that is used for running or racing",medium
"take","to move or carry someone or something from one place to another",medium
"bring","to take someone or something with you from one place to another",medium
"rink","a large flat area where people go to skate",medium
"win","to defeat everyone else by being the best, or by finishing first in a competition",medium
"play","a piece of writing that is intended to be performed by actors in a theatre or on television or the radio",medium
"game","an activity that you take part in for fun, usually one that has rules",medium
"spectator","someone who watches a public activity or event",medium
"umpire","someone whose job is to make sure that players obey the rules in some sports, for example tennis, baseball and cricket",medium
"final","the last game, race, etc in a competition, that decides who wins the whole competition",medium
"finale","the last part of a performance with the most exciting music and dancing",medium
"end","the time when a situation or an event stops",medium
"ending","the way in which a story, film or play ends",medium
"bat","a wooden object used for hitting the ball in games such as baseball, cricket and table tennis",medium
"stick","a long thin piece of wood that is used for hitting or carrying something in a sport",medium
"rod","a long thin bar or stick made of metal, plastic or wood",medium
"racket","an object used for hitting the ball in games such as tennis",medium
"amateur","done for pleasure instead of as a job",medium
"professional","playing a sport or taking part in an activity as a job rather than for enjoyment",medium
"sport","sports in general",medium
"athletics","sports such as running, throwing and jumping",medium
"interval","a short break between the parts of something such as a play or concert",medium
"half time","in football and some other team sports, a period of rest between the two halves of a match",medium
"draw","if two teams or opponents draw, or if they draw a match, they both have the same score, so that neither wins",medium
"equal","to be as good as someone or something else",medium
"competitor","someone who takes part in a competition",medium
"false","made to look like something real",medium
"natural","existing in nature, and not produced by people",medium
"physical","real and able to be seen, touched or felt",medium
"true","based on facts or on things that really happened",medium
"accurate","correct in every detail and without any mistakes",medium
"method","a way of doing something, especially a planned or established way",medium
"way","a method for doing something",medium
"engine","the part of a vehicle that makes it move",medium
"machine","a piece of equipment with moving parts that does a particular job",medium
"motor","the part of a machine or vehicle that makes it work",medium
"aim","the thing that you hope to achieve by doing something",medium
"reason","a fact, situation or intention that explains why something happened, why someone did something or why something is true",medium
"calculate","to discover a number or amount by using mathematics",medium
"electric","using or relating to electricity",medium
"electronic","using electricity and extremely small electrical parts, such as microchips",medium
"progress","the process of developing or improving",medium
"development","change, growth or improvement over a period of time",medium
"modern","relating to or belonging to the present time",medium
"new","recently made, invented or developed",medium
"factory","a building where large quantities of goods are produced using machines",medium
"award","a prize that is given to someone who has achieved something",medium
"reward","something good that happens or that you receive because of something that you have done",medium
"take place","to happen",medium
"occur","to happen",medium
"agree","to have the same opinion as someone else",medium
"headline","the title of a newspaper story, printed in large letters",medium
"heading","the title at the top of a page or piece of writing",medium
"feature","a newspaper or magazine article, or a part of a television or radio programme that concentrates on a particular subject",medium
"article","a piece of writing in a newspaper or magazine",medium
"talk show","a television or radio programme in which famous people talk about themselves and their work",medium
"quiz show","a television or radio programme in which people answer questions in order to win prizes",medium
"game show","a television programme in which people play games or answer questions in order to win prizes",medium
"announcer","someone whose job is to give information about television or radio programmes between other programmes",medium
"commentator","someone whose job is to give a description of an event on television or radio as it happens",medium
"tabloid","a newspaper that has small pages and not much serious news",medium
"broadsheet","a serious type of newspaper that is printed on large sheets of paper",medium
"journalist","someone whose job is to report the news for a newspaper, magazine, radio programme or television programme",medium
"columnist","a journalist who writes a regular series of articles for a particular newspaper or magazine",medium
"press","newspapers and news magazines, or the journalists who work on them",medium
"programme","a television or radio broadcast",medium
"bulletin","a short news broadcast",medium
"newsflash","a short broadcast of an important piece of news in the middle of a television or radio programme",medium
"relationship","the way in which two or more people or groups behave towards each other",medium
"connection","a relationship between things or people",medium
"blame","responsibility for an accident, problem or bad situation",medium
"fault","the fact of being responsible for a bad or unpleasant situation",medium
"old","something that is old has existed or been used for a long time",medium
"crowd","a large number of people in the same place",medium
"audience","the people who watch or listen to a performance",medium
"enjoy","to get pleasure from something",medium
"please","to make someone feel happy and satisfied",medium
"assist","to help someone or something",medium
"kind","behaving in a way that shows you care about other people and want to help them",medium
"sympathetic","willing to understand someone's problems and help them",medium
"likeable","pleasant, friendly and easy to like",medium
"nervous","feeling excited and worried, or slightly afraid",medium
"sensitive","likely to become upset very easily",medium
"popular","liked by many people",medium
"famous","if someone or something is famous, a lot of people know their name or have heard about them",medium
"usual","typical of what happens in most situations, or of what people do in most situations",medium
"near","close to someone or something",medium
"unknown","if something is unknown, people do not know about it or do not know what it is",medium
"infamous","well known for something bad",medium
"proof","information or evidence that shows that something is definitely true",medium
"evidence","facts, statements or objects that help to prove whether someone has committed a crime",medium
"suspect (v)","to believe that something is true",medium
"charge","to accuse someone of committing a crime",medium
"suspect (n)","someone who might have committed a crime",medium
"accused","someone who is accused of a crime in a court of law",medium
"decision","a choice that you make after you have thought carefully about something",medium
"verdict","an official judgment made in a court",medium
"rule","a statement that explains what you can or cannot do in a particular situation",medium
"law","the system of rules that must be obeyed in society",medium
"justice","treatment of people that is fair and morally right",medium
"right","something that you are morally or legally allowed to do or have",medium
"judge","someone whose job is to make decisions in a court of law",medium
"jury","a group of members of the public who decide whether someone is guilty in a court case",medium
"prosecute","to officially accuse someone of a crime and ask a court of law to judge them",medium
"persecute","to treat someone very badly because of their race, religion or political beliefs",medium
"capital punishment","the punishment of legally killing someone who has committed a serious crime",medium
"corporal punishment","punishment that consists of hitting someone",medium
"robber","someone who steals money or property",medium
"burglar","someone who enters a building illegally in order to steal things",medium
"thief","someone who steals something",medium
"vandal","someone who deliberately damages or destroys things, especially public property",medium
"hooligan","someone who is noisy or violent in public places",medium
"sentence","if a judge sentences someone, they officially say what that person's punishment will be",medium
"imprison","to put someone in a prison, or to keep them in a place that they cannot escape from",medium
"innocent","not guilty of a crime or anything bad",medium
"guilty","someone who is guilty has committed a crime or has done something wrong",medium
"witness","someone who sees a crime, accident or other event happen",medium
"bystander","someone who sees an event happen, but who is not directly involved in it",medium
"lawyer","someone whose profession is to provide people with legal advice and services",medium
"solicitor","in the UK, a lawyer who gives legal advice, writes legal contracts, and represents people in the lower courts of law",medium
"prescription","a piece of paper that a doctor gives you that says what type of medicine you need",medium
"recipe","a set of instructions for cooking or preparing a particular food",medium
"operation","the process of cutting into someone's body for medical reasons",medium
"surgery","medical treatment in which a doctor cuts open someone's body",medium
"sore","painful and uncomfortable, usually as a result of an injury, infection or too much exercise",medium
"pain","a bad feeling in part of your body when you are hurt or become ill",medium
"illness","a particular disease, or a period of being ill",medium
"disease","an illness that affects people, animals or plants",medium
"injured","hurt in an accident or attack",medium
"damaged","harmed physically",medium
"thin","someone who is thin has very little fat on their body",medium
"slim","thin in an attractive way",medium
"remedy","a cure for pain or for a minor illness",medium
"therapy","a form of treatment for an illness or medical condition",medium
"fit","healthy, strong and able to do physical exercise",medium
"examine","to look at something or someone carefully",medium
"pollution","chemicals and other substances that have a harmful effect on air, water or land",medium
"plaster","a thin piece of cloth or plastic that sticks to your skin to cover a cut",medium
"bandage","a long thin piece of cloth that you wrap around an injured part of your body",medium
"ward","a large room in a hospital with beds for people to stay in",medium
"clinic","a place where people go to receive a particular type of medical treatment or advice",medium
"dose","a particular amount of a drug or medicine that has been measured so that you can take it",medium
"fever","a medical condition in which the temperature of your body is very high",medium
"rash","an area of small red spots on your skin that is caused by an illness or a reaction to something",medium
"grate","to rub food against a grater in order to cut it into small pieces",medium
"bake","to cook food such as bread and cakes in an oven",medium
"grill (v)","to cook something by putting it close to great heat above or below it",medium
"fry","to cook food in hot oil or fat, or to be cooked in this way",medium
"roast","to cook meat or vegetables in an oven",medium
"boil","to cook something in boiling water, or to be cooked in this way",medium
"cook (n)","someone who cooks food, either as their job or for pleasure",medium
"cooker","a large piece of kitchen equipment that you use for cooking food",medium
"chef","someone whose job is to cook food in a restaurant",medium
"oven","a large piece of equipment in a kitchen that you cook food in",medium
"grill (n)","the part of a cooker where food is cooked under great heat",medium
"hob","the top part of a cooker that you put pans on",medium
"kitchen","a room where you prepare and cook food, and wash dishes",medium
"cuisine","a particular style of cooking",medium
"lunch","a meal that you eat in the middle of the day",medium
"dinner","the main meal of the day, usually eaten in the evening",medium
"plate","a flat round dish that you put food on",medium
"bowl","a round container that you use for eating, serving or preparing food",medium
"saucer","a small round flat dish that you put a cup on",medium
"dish","food that has been prepared and cooked in a particular way",medium
"vegetable","a part of a plant used as food, for example a potato, bean or cabbage",medium
"vegetarian","someone who chooses not to eat meat or fish",medium
"vegan","someone who chooses not to eat anything made from animals or fish, including eggs, milk and cheese",medium
"fast food","food that is made and served very quickly, and that you can take away with you",medium
"takeaway","a meal that you buy in a restaurant and take home to eat",medium
"kettle","a container that is used for boiling water",medium
"teapot","a container with a handle and a spout that you use for making and pouring tea",medium
"freezer","a large piece of electrical equipment that is used for freezing food",medium
"fridge","a piece of equipment that is used for storing food at low temperatures",medium
"frozen","preserved by being made extremely cold and stored at a very low temperature",medium
"mix","to combine two or more substances so that they become a single substance",medium
"whisk","to mix something such as eggs or cream using a whisk or a fork",medium
"soft drink","a cold drink that does not contain any alcohol",medium
"fizzy drink","a sweet drink without alcohol that has bubbles",medium
"menu","a list of the food that is available in a restaurant",medium
"read","to look at and understand words in a letter, book, newspaper, etc",medium
"study","to do work such as reading and homework",medium
"test","a set of written or spoken questions that is used for finding out how much someone knows about a subject",medium
"exam","an important test of your knowledge, especially one that you take at school or university",medium
"primary","relating to the education of children between the ages of about five and eleven",medium
"secondary","relating to the education of children between the ages of 11 and 16 or 18",medium
"high school","in the UK, a school for children between 11-18; in the US, between 14-18",medium
"classmate","someone who is in your class at school",medium
"prefect","in some schools in the UK, an older student who controls activities of younger students and helps them obey rules",medium
"pupil","someone who goes to school or who has lessons in a particular subject",medium
"student","someone who goes to a university, college or school",medium
"qualifications","something such as a degree or a diploma that you get when you successfully finish a course of study",medium
"qualities","positive features of a person's character",medium
"count","to calculate how many people or things there are in a group",medium
"measure","to find the exact size, amount, speed or rate of something",medium
"certificate","an official document that proves that you have passed an examination or have successfully completed a course",medium
"results","the mark that a student gets in an examination",medium
"speak","to be able to talk in a particular language",medium
"talk","to speak, or to have a conversation",medium
"lesson","a period of time in which students are taught about a subject in school",medium
"task","something that you have to do, often something that is difficult or unpleasant",medium
"effort","physical or mental energy needed to do something",medium
"know","to be familiar with someone or something",medium
"teach","to help students to learn something in a school, college or university by giving lessons",medium
"learn","to gain knowledge or experience of something, for example by being taught",medium
"urban","relating to towns and cities",medium
"suburb","an area where people live that is outside the centre of a city",medium
"rural","relating to the countryside, or typical of the countryside",medium
"city","a large/important town",medium
"town","a place where people live and work, which is larger than a village but smaller than a city",medium
"village","a very small town in the countryside",medium
"work","to have a job, or to spend time and effort doing something",medium
"job","work that you do regularly to earn money",medium
"workshop","a room or building where things are made or repaired using machines and/or tools",medium
"employer","a person or organisation that pays people to work for them",medium
"employee","someone who is paid to work for a person or organisation",medium
"manage","to be in control of an office, shop, team, etc",medium
"wage","an amount of money that you receive for each hour, day or week that you work",medium
"pay (n)","money that you receive for doing your job",medium
"bonus","extra money that you are paid in addition to your usual salary",medium
"perk","an extra payment or benefit that you get in addition to your salary",medium
"commute","to travel regularly to and from work",medium
"deliver","to take something to a person or place",medium
"resign","to state formally that you are leaving your job",medium
"fire","to make someone leave their job, sometimes as a punishment",medium
"sack","to force someone to leave their job",medium
"make redundant","if someone is made redundant, they have to leave their job because there is no more work for them",medium
"overtime","extra time that you work after your usual working hours",medium
"promotion","a move to a higher level in a company",medium
"firm","a business, especially one involving a few people",medium
"business","an organisation that buys or sells products or services",medium
"union","an organisation that represents the interests of workers",medium
"scenery","the furniture and painted background on a theatre stage",medium
"stage","the part of a theatre where the actors or musicians perform",medium
"band","a group of musicians who play popular music",medium
"orchestra","a large group of musicians who use many different instruments in order to play mostly classical music",medium
"review","an article in which someone gives their opinion of a play, book, exhibition, etc",medium
"criticism","a comment or comments that show that you think something is wrong or bad",medium
