sentence,answer,distractors,difficulty
There was a sign over the gate saying '............................ OUT'.,KEEP,CLEAR|CONTINUE|KEEP|SET,easy
"Dinosaurs are ............................ , so there are no dinosaurs alive any more.",extinct,mild|extinct|global|tight,easy
There were about twenty people ............................ total at the meeting.,in,on|at|in|with,easy
Are you ............................ with Elaine Sharp? She's a young writer from Manchester.,familiar,common|known|heard|familiar,easy
............................ up your shoelaces or you might trip over them.,Do,Do|Put|Make|Set,easy
We've got to save the rainforests ............................ being destroyed.,from,for|to|from|with,easy
............................ me a joke!,Tell,Tell|Speak|Say|Do,easy
Ruth has got a great ............................ of humour.,sense,emotion|feeling|sense|mood,easy
How did you ............................ when you heard the news?,react,make|cause|do|react,easy
I've passed all my exams! Let's ............................ !,celebrate,behave|praise|celebrate|investigate,easy
Congratulations ............................ getting into the final!,on,on|with|for|by,easy
You'll never ............................ me the world is flat.,convince,doubt|convince|criticise|pretend,easy
I was very ............................ when I was little. I was always getting into trouble!,naughty,bad-tempered|polite|depressed|naughty,easy
I heard a ............................ that you're having a party. Is it true?,rumour,rumour|news|gossip|fact,easy
Simon ............................ stand at the front of the class because he wouldn't stop talking.,was made to,made to|was made to|was made|has made,easy
"............................ Mum had a cold, she still went to work.",Although,Despite|In spite|However|Although,easy
When are you going to ............................ ?,get your computer fixed,get fixed your computer|get your computer fixed|have fixed your computer|have your computer fixing,easy
I'll do my homework as soon as I ............................ home.,get,get|would get|will get|got,easy
Neither Alec ............................ Rob came to school today.,nor,or|and|nor|either,easy
You can't make a snowman ............................ there's some snow!,unless,if|while|unless|after,easy
I suggest ............................ pizza this evening.,having,have|having|to have|us to have,easy
I passed the exam in spite of ............................ no revision!,doing,doing|I did|to do|I had done,easy
"Lan ............. a shower at the moment, so could you call back in about half an hour?",is taking,takes|is taking|has taken|has been taking,medium
............ to Ipswich before?,Have you ever been,Do you ever go|Have you ever been|Are you ever going|Have you ever been going,medium
I ............ to all the local newspapers and TV stations to complain.,have already written,already write|already writing|have already been writting|have already written,medium
........... TV for the last four hours? Turn it off and get some exercise!,Have you been watching,Do you watch|Are you watching|Watched you|Have you been watching,medium
"Eric, .............hockey competitively or just for fun?",do you usually play,do you usually play|are you usually playing|have you usually played|have you usually been playing,medium
That's the first time .............. an answer right today!,I have got,I get|I am getting|I have got|I've been getting,medium
"Jessica has ..............left, I'm afraid.",already,already|yet|still|so far,medium
Dan.............. in the living room while we redecorate his bedroom.,is sleeping,sleeps|is sleeping|has slept|does sleep,medium
"Unfortunately, Simone .............. a day off very often.",doesn't get,doesn't get|isn't getting|hasn't got|hasn't been getting,medium
"Actually, I............. a cup of tea first thing every morning but then I switch to coffee.",do drink,do drink|am drinking|have drunk|have been drinking,medium
You need a passport to cross the ............ between Mexico and the United States.,border,edge|line|border|rim,medium
The hotel where we are ............ is quite luxurious.,staying,living|remaining|existing|staying,medium
"When you ............ your destination, your tour guide will meet you at the airport.",reach,arrive|get|reach|achieve,medium
It can be quite busy here during the tourist ............ .,season,season|period|phase|stage,medium
David ............ me to the train station every morning.,takes,goes|takes|has|makes,medium
I always enjoy our school ............ to France.,trip,excursion|journey|trip|travel,medium
"Hurry up, or we'll ............ the bus!",miss,avoid|miss|drop|lose,medium
The brochure says that the hotel has a great ............ of the sea.,view,appearance|look|sight|view,medium
I must remember to ............ a souvenir back from Spain for my grandmother.,bring,go|take|bring|keep,medium
The ............ from London to Berlin is about 919 kilometres.,distance,measure|length|gap|distance,medium
"Make sure you ............ a hotel before you come to our island, especially in the summer.",book,book|keep|put|take,medium
"I live in Barcelona, but my ............ town is Madrid.",home,birth|home|native|origin,medium
I've always dreamt ............ China.,of visiting,to visit|of visiting|I visit|visit,medium
The travel agency is arranging for us ............ at a really nice hotel.,to stay,stay|of staying|to stay|staying,medium
My dad says he always regrets ............ more.,not travelling,to not travel|not travelling|he not travel|of not travelling,medium
John seems keen ............ how to drive as soon as he can.,to learn,of learning|he learn|for learn|to learn,medium
"Now, class, I'd like you all to write ............ a description of your last holiday.",me,me|to me|it me|about me,medium
"When you arrive ............ , have your passport ready.",at the airport,to the airport|in the airport|on the airport|at the airport,medium
The Joneses have invited us ............ to Australia with them this summer.,to go,going|for going|about going|to go,medium
The in-flight entertainment may differ ............ that advertised.,from,to|from|in|at,medium
Our next door neighbour ............ his car every Sunday.,washes,is washing|washes|has washed|is wash,medium
"Last summer, I ........... to the beach almost every day.",went,went|was going|have been|have been going,medium
"'Whose is this plane ticket on the floor?' 'Oh, it ......... to me. Thank you.'",belongs,is belonging|belongs|has belonged|belonged,medium
'I'm really tired of travelling so much.' 'I thought you .......... a bit quiet.',seemed,were seeming|have seemed|have been seeming|seemed,medium
'You look thoughtful.' 'I .......... about our holiday last year.',was just thinking,just think|had just thought|am just think|was just thinking,medium
"'You went to Chile, didn't you?' 'No, but I ......... to Peru, which is right next door.'",did go,had gone|was gone|did go|was going,medium
Three people were captured at the ......... today trying to get into the country.,border,line|equator|border|edge,medium
There's a fantastic ........... from the top of the Empire State Building!,view,view|sight|appearance|look,medium
"Once we get to the hotel, let's just ........... quickly and then do a bit of sightseeing.",check in,set down|make up|check in|turn up,medium
I'm going to ask for directions because I think we've ......... our way.,lost,missed|misplaced|mistaken|lost,medium
"We usually do go by train, even though the car .......... is a lot quicker.",journey,travel|journey|trip|voyage,medium
Passengers requiring a special meal during the flight should inform the airline in ............ .,advance,ahead|front|advance|forward,medium
My brother and I ........... swimming almost every day last summer.,went,went|had been going|were going|had gone,medium
We .......... when someone knocked at the door.,were talking,talked|had talked|were talking|were talked,medium
"When the robbery happened, the security guard ......... !",was sleeping,slept|was sleeping|had slept|was slept,medium
Jack .......... chess before so I showed him what to do.,hadn't played,hadn't been playing|didn't play|wasn't playing|hadn't played,medium
I wasn't sure how Belinda would react because I .......... her long.,hadn't known,didn't know|wasn't knowing|hadn't been knowing|hadn't known,medium
Ian .......... at the factory long when he was made a manager.,hadn't been working,hadn't been working|wasn't working|didn't work|wasn't worked,medium
"I wanted to say goodbye to Jerry, but he ............ .",had already left,was already left|already left|had already been leaving|had already left,medium
"When we got to the airport, I realised I .......... my passport at home!",had left,was left|had left|left|had been leaving,medium
Why don't you ............ a go? It's not difficult!,have,make|have|do|set,medium
Carl wasn't very good at mountain climbing as he's afraid of ............,heights,highs|highness|heights|height,medium
There's little .......... of our getting into the final.,chance,opportunity|chance|luck|fortune,medium
Rachel is mad ........... the Eurovision Song Contest.,about,from|against|for|about,medium
Just ........... your best - that's all anyone can ask of you.,do,do|make|be|have,medium
It's .......... time you learned to swim.,high,big|tall|high|far,medium
Grandma .......... a lot of pleasure from gardening.,gets,does|has|makes|gets,medium
.......... your time - don't rush.,Take,Tell|Find|Spend|Take,medium
Each player takes it .......... turn to roll the dice.,in,on|in|at|to,medium
Time ............ so quickly when you're doing something enjoyable.,passes,takes|spends|passes|finds,medium
Our new coach is popular ........... the whole team.,with,for|to|by|with,medium
"She'd .......... hours lying on her bed, reading.",spend,spend|take|make|pass,medium
"He'd been planning to leave the team the .......... time, and hadn't told anyone.",whole,complete|whole|total|full,medium
"I'm not siding ........... her because she's my sister, but because she's right.",with,from|for|to|with,medium
'Why were you so tired yesterday?' 'Because I ............ all morning.',had been jogging,jog|was jogged|had been jogging|had been jogged,medium
It was the first time I ............ a live match.,had ever seen,was ever seeing|had ever been seeing|had ever seen|was ever seen,medium
"'You live in a huge house, don't you?' 'Yes, but we ............ !'",didn't use to,didn't use to|wouldn't|use not|weren't used to,medium
I ............ the whole of War and Peace by the time I was seven years old.,had read,was reading|had been reading|had read|had been read,medium
"Karate hurt my hands at first, but I finally ............ it in the end.",got used to,got used to|was used to|was used|got use to,medium
I ............ for the match to begin when suddenly a dog ran onto the pitch.,was waiting,had waited|waited|was waiting|wait,medium
"Before she retired, my grandma ............ go for a run every morning before work.",would,use to|would|got used to|was used to,medium
The ............ in the stadium all cheered the athletes.,spectators,viewers|witnesses|spectators|onlookers,medium
I got a new baseball ............ yesterday.,bat,stick|club|racket|bat,medium
"After a hard match, United managed to ............ with City, 1-1.",draw,equal|exact|draw|score,medium
"In this game, the players ............ it in turns to throw the dice.",take,take|do|make|have,medium
"It's nice to win, but the important thing is to ............ your best.",do,make|take|have|do,medium
Just ask them if you can play and I'm sure they'll let you ............ .,join in,take up|join in|go off|take to,medium
Everyone expects Johnson to ............ Smith in today's final.,beat,beat|score|win|champion,medium
I don't think people should be allowed to perform experiments ............ animals.,on,for|over|on|to,medium
There was an explosion in technology ............ the beginning of the 20th century.,at,in|at|through|on,medium
Let's face ............ - we are destroying the environment and we need to do something now.,facts,truth|facts|things|information,medium
"The distance from the Earth to the Sun is, ............ average, about 149 million kilometres.",on,by|on|from|in,medium
It's amazing that creatures survive ............ the bottom of the ocean.,at,in|by|at|to,medium
Fox Talbot ............ the first photograph in 1835.,took,gave|did|drew|took,medium
Researchers have ............ to the conclusion that your personality is affected by your genes.,come,come|got|reached|arrived,medium
Do you mind if I just ............ a quick phone call from here?,make,do|take|have|make,medium
Many lives were saved ............ the introduction of antibiotics.,with,into|at|with|in,medium
The ............ of the nuclear accident is still unknown.,cause,reason|cause|base|motive,medium
"My father works at the university, doing research ............ weather control.",on,on|to|of|from,medium
"The telescope will photograph distant galaxies, ............ an attempt to understand their past.",in,on|for|with|in,medium
"This time next week, we ............ the chemistry exam.",will have finished,have finished|have been finishing|will have finished|will have been finishing,medium
"When I grow up, ............ an inventor.",I'm going to be,I'm being|I'm going to be|I will have been|I will be being,medium
Shirley will ............ her research for the next few weeks.,be doing,have done|be doing|have been doing|have been done,medium
"Next year, Sam will ............ patients at this hospital for twenty-five years.",have been treating,have been treating|treat|be treating|be going to treat,medium
'What is it?' 'We won't know until ............ at it under a microscope.',we've looked,we're going to look|we'll have looked|we'll be looking|we've looked,medium
You won't get any radio reception while ............ through the tunnel.,you're driving,you've driven|you'll drive|you're driving|you'll be driving,medium
'I'm going to set up the equipment in a minute.' '............ give you a hand?',Shall I,Shall I|Will I|Would I|Do I,medium
Do you know who ............ the fact that sound travels in waves?,discovered,invented|developed|discovered|found,medium
I'm thinking of getting a fax ............ .,machine,machine|engine|motor|instrument,medium
The ............ of the outbreak of the disease is still unknown.,cause,aim|reason|cause|motive,medium
Ten million text messages are sent on ............ every minute.,average,normal|common|general|average,medium
"Once they've finished the extension to the ............ , there'll be room for them to take on a lot more workers.",factory,manufacturing|trade|industry|factory,medium
Shannen doesn't dye her hair; it's ............ blonde.,naturally,physically|naturally|logically|organically,medium
I've ............ it in at the mains but it still doesn't seem to work.,plugged,worked|turned|narrowed|plugged,medium
"Oh, I didn't tell you! We've got ............ new English teacher.",a,a|an|the|no word,medium
Here's ............ DVD you asked to borrow.,the,a|an|the|no word,medium
"We're out of ............ coffee, so could you get some from the supermarket?",no word,a|an|the|no word,medium
The prize is ............ unique opportunity to travel the world!,a,a|an|the|no word,medium
It looks like ............ glass in your bedroom window is cracked.,the,a|an|the|no word,medium
It's ............ honour to be here this evening to speak to you.,an,a|an|the|no word,medium
There's ............ good chance we'll be late for the meeting.,a,a|an|the|no word,medium
Reports are coming in of a major oil spill in ............ Mediterranean.,the,a|an|the|no word,medium
I went to see the doctor because I'm finding it difficult to sleep at ............ night.,no word,a|an|the|no word,medium
Do you think that they'll ever send a manned mission to ............ Venus?,no word,a|an|the|no word,medium
"If you have ............ time at the end of the exam, check your answers.",a little,few|a few|little|a little,medium
Give me ............ minutes and I'll be ready.,a few,few|a few|little|a little,medium
We've only got ............ milk left so get some when you go shopping.,a little,few|a few|little|a little,medium
Just ............ practice every day and you'll soon be able to play the piano.,a little,few|a few|little|a little,medium
We were disappointed that ............ of the members came to the youth club party.,few,few|a few|little|a little,medium
Sprinkle ............ sugar on the strawberries.,a little,few|a few|little|a little,medium
"I suppose now I'm 43, I have ............ hope of playing football for England.",little,few|a few|little|a little,medium
Could you help me with ............ exercises I don't understand?,a few,few|a few|little|a little,medium
"There's ............ coffee left, if anyone wants some.",a little,few|a few|little|a little,medium
Becoming an astronaut is so demanding that ............ people manage it.,few,few|a few|little|a little,medium
I'll meet you in half an hour - I've got ............ e-mails to write first.,a few,few|a few|little|a little,medium
"Many people feel there's ............ point in voting, even in a general election.",little,few|a few|little|a little,medium
It's not always easy to ............ the difference between fact and opinion.,tell,make|do|say|tell,medium
The debate will ............ place tonight.,take,be|have|take|make,medium
"In my ............ , freedom of the press must be maintained.",view,mind|view|sight|thought,medium
Media mogul Ronald Morduck has ............ control of another tabloid.,taken,made|found|given|taken,medium
They ............ a description of the robber on CrimeTime and it sounded like you!,gave,made|told|said|gave,medium
J.K. Rowling has ............ an enormous influence on children's literature.,had,had|given|done|set,medium
I could spend hours ............ the Internet!,surfing,surfing|diving|sailing|swimming,medium
They said ............ the news that the price of petrol is going up again.,on,from|in|on|at,medium
The issue ............ question is more complex than you think.,in,from|in|on|at,medium
Watch ............ for words like 'so-called' in articles as they express the writer's bias.,out,about|around|over|out,medium
The programme usually ............ on at half past eight.,comes,looks|does|turns|comes,medium
I saw the interview while I was ............ through a magazine at the hairdresser's.,flicking,clicking|flicking|picking|ticking,medium
Why did you have to bring that subject ............ at dinner?,up,up|out|cover|off,medium
They mentioned it in the article but they didn't ............ into detail.,go,make|take|come|go,medium
The tabloids completely ............ that story about Bruce Willis. It's not true at all!,made up,stood out|filled in|made up|turned over,medium
They were ............ out free tickets to the concert to everyone in the shopping centre.,handing,handing|holding|carrying|bringing,medium
"We had the volume turned down, so I couldn't make ............ what they were talking about.",out,up|out|in|off,medium
Everyone said they had ............ themselves at the wedding.,enjoyed,enjoyed|impressed|pleased|excited,medium
Mary seems to go out with a different ............ of friends almost every night.,group,group|band|company|collection,medium
People can become very ............ when they are stuck in traffic for a long time.,bad-tempered,nervous|bad-tempered|stressful|pressed,medium
More and more people are living into ............ age and it's a serious social problem.,old,high|ancient|far|old,medium
Stephanie seems to be very ............ with her classmates.,popular,likeable|famous|known|popular,medium
Most ............ people have no idea what it's like to be famous.,ordinary,usual|ordinary|typical|medium,medium
"When my parents got divorced, my best friend was very ............ and listened to all my problems.",sympathetic,likeable|amusing|sympathetic|enjoyable,medium
Rita's very ............ and easily gets upset when people criticise her.,sensitive,level-headed|sensitive|sensible|open-minded,medium
Police were called in when the ............ of people began to get violent.,crowd,crowd|company|audience|herd,medium
My dad says he once met Robbie Williams when he was still ............ .,unknown,unknown|hidden|infamous|unrelated,medium
The government is trying to convince people ............ the need for higher taxes.,of,with|of|that|for,medium
I believe that judges should be independent ............ the government.,from,to|from|with|on,medium
Local residents object ............ the new power station in their area.,to having,to have|having|of having|to having,medium
Do you think they should ban people ............ smoking in public places?,from,from|that|in|of,medium
The MP asked ............ the prime minister was aware of the growing social problem.,if,that|him|if|what,medium
Most people seem to agree ............ the newspapers' criticism of the government.,with,on|to|with|that,medium
"I don't think people should rely ............ the state, even if they are unemployed.",on,to|with|on|by,medium
The mayor was attacked ............ public money.,for wasting,for wasting|to waste|he waste|of wasting,medium
"If I ............ the lottery, I'd give some of the money to each member of my family.",won,win|have won|will win|won,medium
"'Did you have an argument with Francis?' 'If you had been there, you ............ the same.'",would have done,did|would have done|had done|will do,medium
"If you see Nina on Friday, ............ her to give me a ring.",tell,you will tell|tell to|you would have told|tell,medium
"If I'd known you were coming, I ............ a cake.",would have baked,would have baked|would bake|will bake|baked,medium
Remind Tony about the party ............ he's forgotten.,in case,in case|unless|provided that|except,medium
'Did you have a message for Dan?' 'Tell him I'll call him on Friday if you ............ him.',see,had seen|see|will see|saw,medium
This fascinating book covers some of the most ............ crimes of the twentieth century.,infamous,unknown|hidden|covered|infamous,medium
The government should do more for ............ people.,ordinary,usual|ordinary|everyday|typical,medium
Ivan tells me he really ............ himself at your barbecue last week.,enjoyed,pleased|played|enjoyed|interested,medium
"I know we had an argument, but now I'd quite like to ............ .",make up,look down|make up|fall out|bring up,medium
Harry and Sam both denied that the fight was their ............ .,fault,blame|cause|criticism|fault,medium
"The curtain went up, the ............ grew silent and the actors on stage began to speak.",audience,crowd|congregation|jury|audience,medium
It was ............ windy that I couldn't stand up!,so,so|such|enough|too,medium
Everyone had ............ a good time when we went bowling that we agreed to go again.,such,so|such|enough|too,medium
Emma and Karen used to be ............ good friends that I'm surprised they don't get on now.,such,so|such|enough|too,medium
I hope I've got ............ money to pay for this meal!,enough,so|such|enough|too,medium
"I'm sorry, but I've got ............ much work to do to come to the beach today.",too,so|such|enough|too,medium
My mum was ............ angry that I knew I'd better disappear for a while.,so,so|such|enough|too,medium
They were ............ beautiful shoes that I decided I had to get them.,such,so|such|enough|too,medium
The earthquake was ............ powerful that the town was destroyed.,so,so|such|enough|too,medium
The shot was ............ quick for the goalkeeper and the ball hit the back of the net.,too,so|such|enough|too,medium
I had ............ a bad headache that I went to lie down for a while.,such,so|such|enough|too,medium
One problem is that we don't have ............ officers on the streets.,enough,so a lot of|too many|enough|such many,medium
I can't get a car yet because I'm not ............ to drive.,old enough,enough old|quite old|so old|old enough,medium
Some crimes seem to be ............ in this country than in others.,much less common,much less common|the least common|too little common|little common enough,medium
Police blamed the robberies ............ a local gang.,on,with|on|for|to,medium
My grandma says there was ............ a lot of crime when she was young that nobody trusted anybody else.,so,too|so|such|quite,medium
It became ............ as I walked home and I began to get slightly nervous.,quite dark,enough dark|such dark|quite dark|so dark enough,medium
The prisoner knew he had ............ a mistake and would regret it forever.,made,got|taken|done|made,medium
The boy ............ that he had had anything to do with the break-in.,denied,refused|denied|objected|rejected,medium
"Suddenly, someone shouted, 'Thief!' and the man quickly ............ on a motorbike.",made off,took in|made off|came forward|handed in,medium
Do you have ............ to take that bicycle?,permission,allowance|exception|willingness|permission,medium
"He said it was an accident, but I know he did it on ............ .",purpose,purpose|aim|goal|reason,medium
Things started to ............ wrong for the robbers when the alarm went off.,go,take|have|go|come,medium
The sign says that all shoplifters will be ............ .,prosecuted,persecuted|disproved|prosecuted|prohibited,medium
"............ I have a look at those shoes in the window, please?",Could,Must|Would|Should|Could,medium
We ............ pay for the tickets as Josie won them in a competition.,didn't have to,mustn't|didn't have to|couldn't|hadn't to,medium
You really ............ make such a mountain out of a molehill!,shouldn't,can't|won't|mightn't|shouldn't,medium
You won't ............ to connect to the Internet once you've got broadband as you're online twenty-four hours a day.,need,need|must|ought|able,medium
I hope we ............ find the cinema easily.,can,could|may|might|can,medium
We couldn't find a hotel room so we ............ sleep in the car. It was awful!,had to,must|should|had to|could,medium
We'd love to ............ afford to go on a round-the-world cruise.,be able to,can|be able to|will have to|have to,medium
Fiona can't ............ about the meeting. I reminded her this morning!,have forgotten,forget|be forgetting|have forgotten|have been forgetting,medium
"She could ............ in the garage when we came round, which would explain why she didn't hear the bell.",have been working,work|be working|have worked|have been working,medium
You'll ............ tell the police that your house was broken into.,have to,have to|must|had to|should,medium
Let me ............ you a nice warm bath and you'll feel a lot better.,run,make|run|get|build,medium
"When the snake bit Mike in the forest, he knew he was ............ serious danger.",in,to|with|on|in,medium
Being ............ an injection wasn't as painful as I thought it was going to be.,given,given|done|made|taken,medium
"Hello? Yes, I'd like to ............ an appointment for tomorrow with Dr Fletcher, please.",make,form|do|break|make,medium
My grandfather's over 95 and is ............ pretty poor health these days.,in,on|to|with|in,medium
"I was told to ............ the medicine three times a day, before meals.",take,take|eat|get|do,medium
I like to ............ fit by going to the gym at least twice a week.,keep,continue|make|keep|set,medium
Eat your vegetables. They'll ............ you good.,do,make|get|have|do,medium
The key to losing weight is to ............ more exercise.,get,get|make|go|create,medium
You should try to ............ an alternative to all those sugary snacks you eat.,find,make|find|take|do,medium
I'm going to make a real effort to get ............ shape for the summer.,in,on|to|in|from,medium
Try spreading something low fat ............ your bread instead of butter.,on,in|through|around|on,medium
I ............ have joined a gym but in the end I decided to exercise at home.,could,must|could|will|may,medium
'I've been feeling under the weather recently.' 'You ............ more exercise.',should get,should get|should have got|would get|would have got,medium
'It was hard work getting back from the hospital with my leg in plaster.' 'You should ............ me. I'd have picked you up.',have called,call|be calling|have called|have been calling,medium
............ write with your left hand when you broke your arm?,Did you have to,Did you had to|Did you have to|Needed you to|Must you,medium
"You ............ have huge muscles to look good, you know!",don't have to,don't have to|mustn't|can't|shouldn't,medium
That ............ be Ted at the door. He's in bed with chicken pox.,can't,hasn't to|oughtn't to|mustn't|can't,medium
You must ............ thrilled when the doctor said it wasn't serious.,have been,be|have been|be being|have been being,medium
'Colin's got to stay in bed for eight weeks.' 'I'd hate to ............ do that.',have to,will have to|must|have to|will,medium
The doctor ............ the cut on my knee and said it had completely healed up.,examined,investigated|researched|examined|looked into,medium
Dr Parker gave my mum a lovely ............ for spaghetti carbonara.,recipe,recipe|prescription|receipt|paper,medium
My feet are ............ . I guess my new shoes are a bit tight.,sore,hurt|pain|ache|sore,medium
"I was shocked when I crashed the car, but at least I wasn't ............ .",injured,injured|damaged|broken|spoilt,medium
"Diana looks terribly ............ . You don't think she's ill, do you?",thin,slim|thin|slender|slight,medium
Some drugs produce bad side ............ .,effects,consequences|products|results|effects,medium
"I was very sad when the vet said he'd have to ............ Gertie, our labrador.",put down,put down|pull through|feel up to|wear off,medium
Going on this diet has really ............ me good. I've lost weight and I feel fantastic!,done,made|taken|done|had,medium
I was disappointed that the restaurant had ............ flowers on the table.,artificial,false|untrue|artificial|forged,medium
Sarah and Michael's ............ seems to make both of them unhappy.,relationship,connection|bond|relationship|link,medium
Anybody found stealing from this shop will be ............ .,prosecuted,prosecuted|persuaded|provoked|persecuted,medium
"Grace thinks she's very ............ , but I don't think many people like her, really.",popular,famous|known|recognisable|popular,medium
I glanced at the newspaper and saw that the ............ said 'President Resigns'.,headline,headline|subtitle|heading|chapter,medium
"If our flight is delayed, will we ............ our connection in Los Angeles?",miss,drop|miss|lose|lack,medium
The doctor told Bill that he needed ............ on his arm.,surgery,operation|surgery|remedy|cure,medium
The judge looked at the ............ and reminded him that he had to tell the whole truth.,witness,bystander|onlooker|witness|viewer,medium
I think my favourite ............ is probably table tennis.,sport,athletics|exercise|sport|gym,medium
"The actor, Michael Read, was today ............ with robbery.",charged,charged|accused|arrested|suspected,medium
I think the discussion has gone on ............ and we should make a decision.,long enough,enough long|such long|long enough|so long,medium
"'Did you call John?' 'No, because I ............ go out. I'll try him later today.'",had to,had to|must|might|need,medium
There ............ be a lot more open space around here before they built the new underground station.,used to,would|used to|used|got used to,medium
"If you hadn't lost the pieces, we ............ a game of chess.",could have,couldn't have had|can't have|may have|could have,medium
"'Why are you taking your PlayStation games?' 'Oh, just ............ Tommy wants to borrow them.'",in case,as long as|in case|provided that|unless,medium
I suppose we really ............ to book our ferry tickets in advance.,ought,should|can|must|ought,medium
"I'm afraid we've run out of ............ this week, so we'll see you at the same time tomorrow for It's Worth a Million!",time,the time|some time|time|a time,medium
The man might have got away with the crime if the policeman ............ him.,hadn't seen,wasn't seeing|hadn't seen|didn't see|wouldn't have seen,medium
'I've been reading a great book.' 'I seem to be ............ busy to find the time for reading these days.',too,so|too|such|enough,medium
The hotel has a poor reputation and ............ people want to stay there.,few,a little|a few|a little|few,medium
We ............ a swimming pool put in this week.,are having,get|are having|have|have got,medium
Why don't you get a doctor ............ at your arm?,to look,to look|looked|look|be looking,medium
My teeth were a little yellow so I ............ by the dentist.,had them cleaned,had cleaned them|have them cleaned|was cleaned them|had them cleaned,medium
Stuart's thinking of having ............ !,his head shaved,shaved his head|his head shaving|his head shaved|shaved to his head,medium
My sister ............ her ear pierced last weekend.,got,made|got|did|took,medium
"Mum and Dad didn't fancy cooking, so we got a pizza ............ .",delivered,be delivered|to be delivered|delivered|deliver,medium
You should ............ a professional to check your house for earthquake damage.,get,have|make|take|get,medium
Kelly wanted to have a live band ............ at her wedding.,played,to be played|play|played|been playing,medium
Can we ............ this summer?,have air-conditioning installed,get installed air-conditioning|get air-conditioning to install|have installed air-conditioning|have air-conditioning installed,medium
We ............ while we were on holiday.,had our house burgled,were burgled our house|had our house burgled|had burgled our house|got burgled our house,medium
"There's a pack of ............ vegetables in the freezer, I think.",frozen,freezing|frozen|iced|icy,medium
There are no vegetarian dishes on the ............ !,menu,leaflet|brochure|catalogue|menu,medium
............ the onions in cooking oil until they're golden brown.,Fry,Boil|Bake|Fry|Grill,medium
Pre-heat the ............ to 200°.,oven,oven|kitchen|cuisine|cook,medium
I'll ............ the washing-up tonight!,do,make|take|do|have,medium
The problem with most fizzy drinks is that they're ............ sugar.,full of,full up|filled up with|filled with|full of,medium
"Susie and Fran ............ in on us last night, so I had to quickly defrost a pizza.",dropped,turned|dropped|came|went,medium
"If you need to ............ the teacher's attention, just put your hand up.",attract,pull|attract|capture|draw,medium
Make sure you ............ your homework before you go out.,do,make|solve|write|do,medium
Could I ............ a suggestion? Why not have piano lessons?,make,have|do|put|make,medium
I really don't ............ the point of taking the exam when you're not ready for it.,see,take|see|have|mind,medium
I'll meet you at the school gates during the lunch ............ .,break,break|gap|interval|pause,medium
"Do you think you could pass that book ............ to me, please?",over,under|through|over|in,medium
Mrs Dawson said that we are ............ our lesson in the library next Monday.,having,having|making|reading|going,medium
"In English yesterday, we had a discussion ............ different cultures.",about,around|about|for|from,medium
"............ my opinion, maths shouldn't be a compulsory subject.",In,From|To|At|In,medium
"When you ............ the exam tomorrow, try to stay calm and relaxed.",take,make|write|take|answer,medium
"My dad wants me to go to university, but I'm in ............ minds about it.",two,my|two|some|different,medium
I still have a lot ............ about the English language.,to learn,learning|to learn|for learning|of learning,medium
"If the examiner can't ............ sense of your writing, you'll get a low mark.",make,make|bring|take|understand,medium
"I hadn't studied, so when the teacher asked me I had ............ idea.",no,none|no|even|not,medium
I didn't expect our history teacher ............ us so much homework.,to give,giving|give|to give|to giving,medium
Do you remember ............ to school for the very first time?,going,go|to go|of going|going,medium
I started doing my homework when I got home from school but I stopped ............ my favourite show.,to watch,watch|to watch|watching|from watching,medium
Please don't forget ............ your essays during Friday's lesson.,to hand in,handing in|to hand in|hand in|to handing in,medium
Our teacher made the whole class ............ after the lesson because we had been so noisy.,stay,staying|to stay|for staying|stay,medium
"'What was Derek's reaction to the accusation?' 'Well, he denied ............ anywhere near the house at the time.'",being,being|to be|be|of being,medium
I was very proud when I was told that I'd been made into a ............ .,prefect,pupil|student|prefect|classmate,medium
"With a little hard work, I'm sure you'll ............ a lot this year.",achieve,reach|succeed|achieve|qualify,medium
Who ............ you how to cook so well?,taught,taught|learned|made|explained,medium
Lee didn't do so well in the test because he hadn't ............ .,studied,written|studied|read|learned,medium
I think you need to ............ your ideas more clearly so that the reader doesn't get confused.,set out,dawn on|get on with|set out|give in,medium
"Oh, no! We've got a double maths ............ next!",lesson,subject|interval|lesson|task,medium
"Oh, I'm sorry! ............ disturbing you?",Am I,Do I|Have I|Should I|Am I,medium
Did Dorothy ............ you about the meeting on Friday?,tell,told|tell|has told|tells,medium
............ hot when you were in Spain?,Was it,Was it|It was|Did it|It made,medium
"Tony, ............ got time to call Mrs Roberts?",have you,do you have|you have|are you|have you,medium
"When your boss arrived, ............ finished the report?",had you,you had|did you have|had you|were you,medium
"I know Jane's pretty, but ............ seen someone spend so much time in front of the mirror?",have you ever,do you ever|you have never|have you ever|ever have you,medium
"It's raining, so ............ cancel the concert?",will they,will they|they will|do they will|are they,medium
"............ pass me the salt, please?",Could you,You could|Are you|You are|Could you,medium
"Sir, ............ repeat what the homework is, please?",can you,do you|are you|you|can you,medium
............ the couple you met in France last year staying at the same hotel?,Were,Did|Have|Were|Could,medium
"I know how to pronounce 'controversy', but what ............ ?",does it mean,does it mean|it means|is it mean|means it,medium
"It's a great idea, but ............ it will work?",do you think,are you think|do you think|you think|you do think,medium
"No one seems to care about the environment, ............ ?",do they,does he|are they|is he|do they,medium
Do you know where ............ a book about insects?,I can find,can I find|I find|I can find|do I find,medium
