sentence,options,answer,difficulty,question_type
Your passport ............................ returned to you tomorrow morning.,"has been|will be|is|is being",will be,easy,VOCAB
Look at the photo ............................ page 24!,"in|on|at|to",on,easy,VOCAB
I'll see you ............................ half past eight.,"in|on|at|to",at,easy,VOCAB
How ............................ for?,"the room was paid|was paid the room|was the room paid|the room paid",was the room paid,easy,VOCAB
............................ all those bags with you tomorrow?,"You take|Are you taking|Do you take|You are taking",Are you taking,easy,VOCAB
Jacques speaks with a French ............................ .,"announcement|accent|channel|broadcast",accent,easy,VOCAB
How do you ............................ the word 'brought' in English?,"whisper|announce|swear|pronounce",pronounce,easy,VOCAB
Local residents are ............................ about the park being closed.,"protesting|committing|arresting|linking",protesting,easy,VOCAB
Don't blame Carl ............................ being late. It wasn't his fault.,"on|in|for|with",for,easy,VOCAB
We're collecting money for a local ............................ . Could you spare a couple of euros?,"tradition|culture|situation|charity",charity,easy,VOCAB
The bank in the high street was ............................ again yesterday.,"stolen|broken|robbed|taken",robbed,easy,VOCAB
"I only glanced ............................ his face, so I can't really remember what he looks like.","to|at|on|by",at,easy,VOCAB
"If something is illegal, it's against the ............................ .","law|society|government|rule",law,easy,VOCAB
"Will lives quite near here, ............................ he?","don't|lives not|doesn't|isn't",doesn't,easy,VOCAB
Do you think she should ............................ for this job?,"to apply|applies|applying|apply",apply,easy,VOCAB
"You ............................ help me, but you can if you want to.","don't have to|didn't need to|mustn't|haven't to",don't have to,easy,VOCAB
"Excuse me, I wonder if you could tell me if ............................ .","is there a bank near here?|there is a bank near here.|is there a bank near here.|there is a bank near here?",there is a bank near here.,easy,VOCAB
You shouldn't have ............................ to James about what I told you. It was a secret!,"speak|spoke|to speak|spoken",spoken,easy,VOCAB
"That ............................ the end of the lesson already! We've only just started, haven't we?","mustn't be|can't be|mustn't have been|didn't have to be",can't be,easy,VOCAB
"We ............................ go to the cinema tonight, but it depends on what they're showing.","will|might|should|can",might,easy,VOCAB
I ............................ apologise when I broke my mum's favourite vase.,"had to|ought to|must|could",had to,easy,VOCAB
"If you see a doctor, he or she ............................ you what's wrong with you.","would tell|will tell|has told|is telling",will tell,easy,VOCAB
"If you exercise more, you ............................ weight.","would lose|have lost|had lost|will lose",will lose,easy,VOCAB
"If you hadn't had a good interview, you ............................ the job.","won't have got|wouldn't have got|haven't got|didn't get",wouldn't have got,easy,VOCAB
"If you don't eat fruit and vegetables, your body ............................ the vitamins it needs.","doesn't get|wouldn't get|didn't get|hadn't got",doesn't get,easy,VOCAB
You wouldn't have got ill if you ............................ to your doctor's advice.,"were listening|had listened|will listen|have listened",had listened,easy,VOCAB
We ............................ the job sooner if you hadn't wasted time.,"might have finished|will finish|have finished|finish",might have finished,easy,VOCAB
People ............................ happier if they eat well and get a little exercise.,"would be|are|were|would have been",are,easy,VOCAB
"If you had worn a coat, you ............................ a cold.","didn't catch|hadn't caught|wouldn't have caught|don't catch",wouldn't have caught,easy,VOCAB
Eating well helps your body fight ............................ disease and illness.,"for|against|to|at",against,easy,VOCAB
I can't eat peanuts because I'm allergic ............................ them.,"with|on|at|to",to,easy,VOCAB
I don't have a job ............................ the moment.,"in|at|on|of",at,easy,VOCAB
Bill is completely fed ............................ with his job and is thinking of leaving.,"up|over|out|off",up,easy,VOCAB
Do you think they will find a/an ............................ for all diseases one day?,"benefit|operation|cure|balance",cure,easy,VOCAB
It took Vanessa a long time to recover ............................ her illness.,"for|off|over|from",from,easy,VOCAB
Mr Williams travels a lot ............................ business.,"in|at|on|from",on,easy,VOCAB
I had a cold and couldn't sleep ............................ night.,"on|in|at|for",at,easy,VOCAB
Tony asked ............................ to go to the cinema with him.,"me do I want|if wanted I|me if I wanted|if did I want",me if I wanted,easy,VOCAB
Why did you lend ............................ ?,"my jacket to Angela|to Angela my jacket|my jacket Angela|Angela to my jacket",my jacket to Angela,easy,VOCAB
I wish you ............................ here!,"are|will be|were|to be",were,easy,VOCAB
We all ............................ you get well soon!,"wish|hope|tell|say",hope,easy,VOCAB
I wish I ............................ Fame Story last night. It's my favourite programme!,"don't miss|haven't missed|didn't miss|hadn't missed",hadn't missed,easy,VOCAB
You promised ............................ to my birthday party!,"coming|to come|come|that you come",to come,easy,VOCAB
I told Ed I'd see him the ............................ day.,"forward|after|next|later",next,easy,VOCAB
Jan said she'd been shopping the day ............................ .,"before|yesterday|ago|in front",before,easy,VOCAB
Do you really think those high-heeled shoes are ............................ in the jungle?,"loose|ancient|rough|suitable",suitable,easy,VOCAB
............................ on your jacket if you're cold.,"Put|Take|Get|Add",Put,easy,VOCAB
There was a sign over the gate saying '............................ OUT'.,"CLEAR|CONTINUE|KEEP|SET",KEEP,easy,VOCAB
"Dinosaurs are ............................ , so there are no dinosaurs alive any more.","mild|extinct|global|tight",extinct,easy,VOCAB
There were about twenty people ............................ total at the meeting.,"on|at|in|with",in,easy,VOCAB
Are you ............................ with Elaine Sharp? She's a young writer from Manchester.,"common|known|heard|familiar",familiar,easy,VOCAB
............................ up your shoelaces or you might trip over them.,"Do|Put|Make|Set",Do,easy,VOCAB
We've got to save the rainforests ............................ being destroyed.,"for|to|from|with",from,easy,VOCAB
............................ me a joke!,"Tell|Speak|Say|Do",Tell,easy,VOCAB
Ruth has got a great ............................ of humour.,"emotion|feeling|sense|mood",sense,easy,VOCAB
How did you ............................ when you heard the news?,"make|cause|do|react",react,easy,VOCAB
I've passed all my exams! Let's ............................ !,"behave|praise|celebrate|investigate",celebrate,easy,VOCAB
Congratulations ............................ getting into the final!,"on|with|for|by",on,easy,VOCAB
You'll never ............................ me the world is flat.,"doubt|convince|criticise|pretend",convince,easy,VOCAB
I was very ............................ when I was little. I was always getting into trouble!,"bad-tempered|polite|depressed|naughty",naughty,easy,VOCAB
I heard a ............................ that you're having a party. Is it true?,"rumour|news|gossip|fact",rumour,easy,VOCAB
Simon ............................ stand at the front of the class because he wouldn't stop talking.,"made to|was made to|was made|has made",was made to,easy,VOCAB
"............................ Mum had a cold, she still went to work.","Despite|In spite|However|Although",Although,easy,VOCAB
When are you going to ............................ ?,"get fixed your computer|get your computer fixed|have fixed your computer|have your computer fixing",get your computer fixed,easy,VOCAB
I'll do my homework as soon as I ............................ home.,"get|would get|will get|got",get,easy,VOCAB
Neither Alec ............................ Rob came to school today.,"or|and|nor|either",nor,easy,VOCAB
You can't make a snowman ............................ there's some snow!,"if|while|unless|after",unless,easy,VOCAB
I suggest ............................ pizza this evening.,"have|having|to have|us to have",having,easy,VOCAB
I passed the exam in spite of ............................ no revision!,"doing|I did|to do|I had done",doing,easy,VOCAB
"Lan ............. a shower at the moment, so could you call back in about half an hour?","takes|is taking|has taken|has been taking",is taking,medium,VOCAB
............ to Ipswich before?,"Do you ever go|Have you ever been|Are you ever going|Have you ever been going",Have you ever been,medium,VOCAB
I ............ to all the local newspapers and TV stations to complain.,"already write|already writing|have already been writting|have already written",have already written,medium,VOCAB
........... TV for the last four hours? Turn it off and get some exercise!,"Do you watch|Are you watching|Watched you|Have you been watching",Have you been watching,medium,VOCAB
"Eric, .............hockey competitively or just for fun?","do you usually play|are you usually playing|have you usually played|have you usually been playing",do you usually play,medium,VOCAB
That's the first time .............. an answer right today!,"I get|I am getting|I have got|I've been getting",I have got,medium,VOCAB
"Jessica has ..............left, I'm afraid.","already|yet|still|so far",already,medium,VOCAB
Dan.............. in the living room while we redecorate his bedroom.,"sleeps|is sleeping|has slept|does sleep",is sleeping,medium,VOCAB
"Unfortunately, Simone .............. a day off very often.","doesn't get|isn't getting|hasn't got|hasn't been getting",doesn't get,medium,VOCAB
"Actually, I............. a cup of tea first thing every morning but then I switch to coffee.","do drink|am drinking|have drunk|have been drinking",do drink,medium,VOCAB
You need a passport to cross the ............ between Mexico and the United States.,"edge|line|border|rim",border,medium,VOCAB
The hotel where we are ............ is quite luxurious.,"living|remaining|existing|staying",staying,medium,VOCAB
"When you ............ your destination, your tour guide will meet you at the airport.","arrive|get|reach|achieve",reach,medium,VOCAB
It can be quite busy here during the tourist ............ .,"season|period|phase|stage",season,medium,VOCAB
David ............ me to the train station every morning.,"goes|takes|has|makes",takes,medium,VOCAB
I always enjoy our school ............ to France.,"excursion|journey|trip|travel",trip,medium,VOCAB
"Hurry up, or we'll ............ the bus!","avoid|miss|drop|lose",miss,medium,VOCAB
The brochure says that the hotel has a great ............ of the sea.,"appearance|look|sight|view",view,medium,VOCAB
I must remember to ............ a souvenir back from Spain for my grandmother.,"go|take|bring|keep",bring,medium,VOCAB
The ............ from London to Berlin is about 919 kilometres.,"measure|length|gap|distance",distance,medium,VOCAB
"Make sure you ............ a hotel before you come to our island, especially in the summer.","book|keep|put|take",book,medium,VOCAB
"I live in Barcelona, but my ............ town is Madrid.","birth|home|native|origin",home,medium,VOCAB
I've always dreamt ............ China.,"to visit|of visiting|I visit|visit",of visiting,medium,VOCAB
The travel agency is arranging for us ............ at a really nice hotel.,"stay|of staying|to stay|staying",to stay,medium,VOCAB
My dad says he always regrets ............ more.,"to not travel|not travelling|he not travel|of not travelling",not travelling,medium,VOCAB
John seems keen ............ how to drive as soon as he can.,"of learning|he learn|for learn|to learn",to learn,medium,VOCAB
"Now, class, I'd like you all to write ............ a description of your last holiday.","me|to me|it me|about me",me,medium,VOCAB
"When you arrive ............ , have your passport ready.","to the airport|in the airport|on the airport|at the airport",at the airport,medium,VOCAB
The Joneses have invited us ............ to Australia with them this summer.,"going|for going|about going|to go",to go,medium,VOCAB
The in-flight entertainment may differ ............ that advertised.,"to|from|in|at",from,medium,VOCAB
Our next door neighbour ............ his car every Sunday.,"is washing|washes|has washed|is wash",washes,medium,VOCAB
"Last summer, I ........... to the beach almost every day.","went|was going|have been|have been going",went,medium,VOCAB
"'Whose is this plane ticket on the floor?' 'Oh, it ......... to me. Thank you.'","is belonging|belongs|has belonged|belonged",belongs,medium,VOCAB
'I'm really tired of travelling so much.' 'I thought you .......... a bit quiet.',"were seeming|have seemed|have been seeming|seemed",seemed,medium,VOCAB
'You look thoughtful.' 'I .......... about our holiday last year.',"just think|had just thought|am just think|was just thinking",was just thinking,medium,VOCAB
"'You went to Chile, didn't you?' 'No, but I ......... to Peru, which is right next door.'","had gone|was gone|did go|was going",did go,medium,VOCAB
Three people were captured at the ......... today trying to get into the country.,"line|equator|border|edge",border,medium,VOCAB
There's a fantastic ........... from the top of the Empire State Building!,"view|sight|appearance|look",view,medium,VOCAB
"Once we get to the hotel, let's just ........... quickly and then do a bit of sightseeing.","set down|make up|check in|turn up",check in,medium,VOCAB
I'm going to ask for directions because I think we've ......... our way.,"missed|misplaced|mistaken|lost",lost,medium,VOCAB
"We usually do go by train, even though the car .......... is a lot quicker.","travel|journey|trip|voyage",journey,medium,VOCAB
Passengers requiring a special meal during the flight should inform the airline in ............ .,"ahead|front|advance|forward",advance,medium,VOCAB
My brother and I ........... swimming almost every day last summer.,"went|had been going|were going|had gone",went,medium,VOCAB
We .......... when someone knocked at the door.,"talked|had talked|were talking|were talked",were talking,medium,VOCAB
"When the robbery happened, the security guard ......... !","slept|was sleeping|had slept|was slept",was sleeping,medium,VOCAB
Jack .......... chess before so I showed him what to do.,"hadn't been playing|didn't play|wasn't playing|hadn't played",hadn't played,medium,VOCAB
I wasn't sure how Belinda would react because I .......... her long.,"didn't know|wasn't knowing|hadn't been knowing|hadn't known",hadn't known,medium,VOCAB
Ian .......... at the factory long when he was made a manager.,"hadn't been working|wasn't working|didn't work|wasn't worked",hadn't been working,medium,VOCAB
"I wanted to say goodbye to Jerry, but he ............ .","was already left|already left|had already been leaving|had already left",had already left,medium,VOCAB
"When we got to the airport, I realised I .......... my passport at home!","was left|had left|left|had been leaving",had left,medium,VOCAB
Why don't you ............ a go? It's not difficult!,"make|have|do|set",have,medium,VOCAB
Carl wasn't very good at mountain climbing as he's afraid of ............,"highs|highness|heights|height",heights,medium,VOCAB
There's little .......... of our getting into the final.,"opportunity|chance|luck|fortune",chance,medium,VOCAB
Rachel is mad ........... the Eurovision Song Contest.,"from|against|for|about",about,medium,VOCAB
Just ........... your best - that's all anyone can ask of you.,"do|make|be|have",do,medium,VOCAB
It's .......... time you learned to swim.,"big|tall|high|far",high,medium,VOCAB
Grandma .......... a lot of pleasure from gardening.,"does|has|makes|gets",gets,medium,VOCAB
.......... your time - don't rush.,"Tell|Find|Spend|Take",Take,medium,VOCAB
Each player takes it .......... turn to roll the dice.,"on|in|at|to",in,medium,VOCAB
Time ............ so quickly when you're doing something enjoyable.,"takes|spends|passes|finds",passes,medium,VOCAB
Our new coach is popular ........... the whole team.,"for|to|by|with",with,medium,VOCAB
"She'd .......... hours lying on her bed, reading.","spend|take|make|pass",spend,medium,VOCAB
"He'd been planning to leave the team the .......... time, and hadn't told anyone.","complete|whole|total|full",whole,medium,VOCAB
"I'm not siding ........... her because she's my sister, but because she's right.","from|for|to|with",with,medium,VOCAB
'Why were you so tired yesterday?' 'Because I ............ all morning.',"jog|was jogged|had been jogging|had been jogged",had been jogging,medium,VOCAB
It was the first time I ............ a live match.,"was ever seeing|had ever been seeing|had ever seen|was ever seen",had ever seen,medium,VOCAB
"'You live in a huge house, don't you?' 'Yes, but we ............ !'","didn't use to|wouldn't|use not|weren't used to",didn't use to,medium,VOCAB
I ............ the whole of War and Peace by the time I was seven years old.,"was reading|had been reading|had read|had been read",had read,medium,VOCAB
"Karate hurt my hands at first, but I finally ............ it in the end.","got used to|was used to|was used|got use to",got used to,medium,VOCAB
I ............ for the match to begin when suddenly a dog ran onto the pitch.,"had waited|waited|was waiting|wait",was waiting,medium,VOCAB
"Before she retired, my grandma ............ go for a run every morning before work.","use to|would|got used to|was used to",would,medium,VOCAB
The ............ in the stadium all cheered the athletes.,"viewers|witnesses|spectators|onlookers",spectators,medium,VOCAB
I got a new baseball ............ yesterday.,"stick|club|racket|bat",bat,medium,VOCAB
"After a hard match, United managed to ............ with City, 1-1.","equal|exact|draw|score",draw,medium,VOCAB
"In this game, the players ............ it in turns to throw the dice.","take|do|make|have",take,medium,VOCAB
"It's nice to win, but the important thing is to ............ your best.","make|take|have|do",do,medium,VOCAB
Just ask them if you can play and I'm sure they'll let you ............ .,"take up|join in|go off|take to",join in,medium,VOCAB
Everyone expects Johnson to ............ Smith in today's final.,"beat|score|win|champion",beat,medium,VOCAB
I don't think people should be allowed to perform experiments ............ animals.,"for|over|on|to",on,medium,VOCAB
There was an explosion in technology ............ the beginning of the 20th century.,"in|at|through|on",at,medium,VOCAB
Let's face ............ - we are destroying the environment and we need to do something now.,"truth|facts|things|information",facts,medium,VOCAB
"The distance from the Earth to the Sun is, ............ average, about 149 million kilometres.","by|on|from|in",on,medium,VOCAB
It's amazing that creatures survive ............ the bottom of the ocean.,"in|by|at|to",at,medium,VOCAB
Fox Talbot ............ the first photograph in 1835.,"gave|did|drew|took",took,medium,VOCAB
Researchers have ............ to the conclusion that your personality is affected by your genes.,"come|got|reached|arrived",come,medium,VOCAB
Do you mind if I just ............ a quick phone call from here?,"do|take|have|make",make,medium,VOCAB
Many lives were saved ............ the introduction of antibiotics.,"into|at|with|in",with,medium,VOCAB
The ............ of the nuclear accident is still unknown.,"reason|cause|base|motive",cause,medium,VOCAB
"My father works at the university, doing research ............ weather control.","on|to|of|from",on,medium,VOCAB
"The telescope will photograph distant galaxies, ............ an attempt to understand their past.","on|for|with|in",in,medium,VOCAB
"This time next week, we ............ the chemistry exam.","have finished|have been finishing|will have finished|will have been finishing",will have finished,medium,VOCAB
"When I grow up, ............ an inventor.","I'm being|I'm going to be|I will have been|I will be being",I'm going to be,medium,VOCAB
Shirley will ............ her research for the next few weeks.,"have done|be doing|have been doing|have been done",be doing,medium,VOCAB
"Next year, Sam will ............ patients at this hospital for twenty-five years.","have been treating|treat|be treating|be going to treat",have been treating,medium,VOCAB
'What is it?' 'We won't know until ............ at it under a microscope.',"we're going to look|we'll have looked|we'll be looking|we've looked",we've looked,medium,VOCAB
You won't get any radio reception while ............ through the tunnel.,"you've driven|you'll drive|you're driving|you'll be driving",you're driving,medium,VOCAB
'I'm going to set up the equipment in a minute.' '............ give you a hand?',"Shall I|Will I|Would I|Do I",Shall I,medium,VOCAB
Do you know who ............ the fact that sound travels in waves?,"invented|developed|discovered|found",discovered,medium,VOCAB
I'm thinking of getting a fax ............ .,"machine|engine|motor|instrument",machine,medium,VOCAB
The ............ of the outbreak of the disease is still unknown.,"aim|reason|cause|motive",cause,medium,VOCAB
Ten million text messages are sent on ............ every minute.,"normal|common|general|average",average,medium,VOCAB
"Once they've finished the extension to the ............ , there'll be room for them to take on a lot more workers.","manufacturing|trade|industry|factory",factory,medium,VOCAB
Shannen doesn't dye her hair; it's ............ blonde.,"physically|naturally|logically|organically",naturally,medium,VOCAB
I've ............ it in at the mains but it still doesn't seem to work.,"worked|turned|narrowed|plugged",plugged,medium,VOCAB
"Oh, I didn't tell you! We've got ............ new English teacher.","a|an|the|no word",a,medium,VOCAB
Here's ............ DVD you asked to borrow.,"a|an|the|no word",the,medium,VOCAB
"We're out of ............ coffee, so could you get some from the supermarket?","a|an|the|no word",no word,medium,VOCAB
The prize is ............ unique opportunity to travel the world!,"a|an|the|no word",a,medium,VOCAB
It looks like ............ glass in your bedroom window is cracked.,"a|an|the|no word",the,medium,VOCAB
It's ............ honour to be here this evening to speak to you.,"a|an|the|no word",an,medium,VOCAB
There's ............ good chance we'll be late for the meeting.,"a|an|the|no word",a,medium,VOCAB
Reports are coming in of a major oil spill in ............ Mediterranean.,"a|an|the|no word",the,medium,VOCAB
I went to see the doctor because I'm finding it difficult to sleep at ............ night.,"a|an|the|no word",no word,medium,VOCAB
Do you think that they'll ever send a manned mission to ............ Venus?,"a|an|the|no word",no word,medium,VOCAB
"If you have ............ time at the end of the exam, check your answers.","few|a few|little|a little",a little,medium,VOCAB
Give me ............ minutes and I'll be ready.,"few|a few|little|a little",a few,medium,VOCAB
We've only got ............ milk left so get some when you go shopping.,"few|a few|little|a little",a little,medium,VOCAB
Just ............ practice every day and you'll soon be able to play the piano.,"few|a few|little|a little",a little,medium,VOCAB
We were disappointed that ............ of the members came to the youth club party.,"few|a few|little|a little",few,medium,VOCAB
Sprinkle ............ sugar on the strawberries.,"few|a few|little|a little",a little,medium,VOCAB
"I suppose now I'm 43, I have ............ hope of playing football for England.","few|a few|little|a little",little,medium,VOCAB
Could you help me with ............ exercises I don't understand?,"few|a few|little|a little",a few,medium,VOCAB
"There's ............ coffee left, if anyone wants some.","few|a few|little|a little",a little,medium,VOCAB
Becoming an astronaut is so demanding that ............ people manage it.,"few|a few|little|a little",few,medium,VOCAB
I'll meet you in half an hour - I've got ............ e-mails to write first.,"few|a few|little|a little",a few,medium,VOCAB
"Many people feel there's ............ point in voting, even in a general election.","few|a few|little|a little",little,medium,VOCAB
It's not always easy to ............ the difference between fact and opinion.,"make|do|say|tell",tell,medium,VOCAB
The debate will ............ place tonight.,"be|have|take|make",take,medium,VOCAB
"In my ............ , freedom of the press must be maintained.","mind|view|sight|thought",view,medium,VOCAB
Media mogul Ronald Morduck has ............ control of another tabloid.,"made|found|given|taken",taken,medium,VOCAB
They ............ a description of the robber on CrimeTime and it sounded like you!,"made|told|said|gave",gave,medium,VOCAB
J.K. Rowling has ............ an enormous influence on children's literature.,"had|given|done|set",had,medium,VOCAB
I could spend hours ............ the Internet!,"surfing|diving|sailing|swimming",surfing,medium,VOCAB
They said ............ the news that the price of petrol is going up again.,"from|in|on|at",on,medium,VOCAB
The issue ............ question is more complex than you think.,"from|in|on|at",in,medium,VOCAB
Watch ............ for words like 'so-called' in articles as they express the writer's bias.,"about|around|over|out",out,medium,VOCAB
The programme usually ............ on at half past eight.,"looks|does|turns|comes",comes,medium,VOCAB
I saw the interview while I was ............ through a magazine at the hairdresser's.,"clicking|flicking|picking|ticking",flicking,medium,VOCAB
Why did you have to bring that subject ............ at dinner?,"up|out|cover|off",up,medium,VOCAB
They mentioned it in the article but they didn't ............ into detail.,"make|take|come|go",go,medium,VOCAB
The tabloids completely ............ that story about Bruce Willis. It's not true at all!,"stood out|filled in|made up|turned over",made up,medium,VOCAB
They were ............ out free tickets to the concert to everyone in the shopping centre.,"handing|holding|carrying|bringing",handing,medium,VOCAB
"We had the volume turned down, so I couldn't make ............ what they were talking about.","up|out|in|off",out,medium,VOCAB
Everyone said they had ............ themselves at the wedding.,"enjoyed|impressed|pleased|excited",enjoyed,medium,VOCAB
Mary seems to go out with a different ............ of friends almost every night.,"group|band|company|collection",group,medium,VOCAB
People can become very ............ when they are stuck in traffic for a long time.,"nervous|bad-tempered|stressful|pressed",bad-tempered,medium,VOCAB
More and more people are living into ............ age and it's a serious social problem.,"high|ancient|far|old",old,medium,VOCAB
Stephanie seems to be very ............ with her classmates.,"likeable|famous|known|popular",popular,medium,VOCAB
Most ............ people have no idea what it's like to be famous.,"usual|ordinary|typical|medium",ordinary,medium,VOCAB
"When my parents got divorced, my best friend was very ............ and listened to all my problems.","likeable|amusing|sympathetic|enjoyable",sympathetic,medium,VOCAB
Rita's very ............ and easily gets upset when people criticise her.,"level-headed|sensitive|sensible|open-minded",sensitive,medium,VOCAB
Police were called in when the ............ of people began to get violent.,"crowd|company|audience|herd",crowd,medium,VOCAB
My dad says he once met Robbie Williams when he was still ............ .,"unknown|hidden|infamous|unrelated",unknown,medium,VOCAB
The government is trying to convince people ............ the need for higher taxes.,"with|of|that|for",of,medium,VOCAB
I believe that judges should be independent ............ the government.,"to|from|with|on",from,medium,VOCAB
Local residents object ............ the new power station in their area.,"to have|having|of having|to having",to having,medium,VOCAB
Do you think they should ban people ............ smoking in public places?,"from|that|in|of",from,medium,VOCAB
The MP asked ............ the prime minister was aware of the growing social problem.,"that|him|if|what",if,medium,VOCAB
Most people seem to agree ............ the newspapers' criticism of the government.,"on|to|with|that",with,medium,VOCAB
"I don't think people should rely ............ the state, even if they are unemployed.","to|with|on|by",on,medium,VOCAB
The mayor was attacked ............ public money.,"for wasting|to waste|he waste|of wasting",for wasting,medium,VOCAB
"If I ............ the lottery, I'd give some of the money to each member of my family.","win|have won|will win|won",won,medium,VOCAB
"'Did you have an argument with Francis?' 'If you had been there, you ............ the same.'","did|would have done|had done|will do",would have done,medium,VOCAB
"If you see Nina on Friday, ............ her to give me a ring.","you will tell|tell to|you would have told|tell",tell,medium,VOCAB
"If I'd known you were coming, I ............ a cake.","would have baked|would bake|will bake|baked",would have baked,medium,VOCAB
Remind Tony about the party ............ he's forgotten.,"in case|unless|provided that|except",in case,medium,VOCAB
'Did you have a message for Dan?' 'Tell him I'll call him on Friday if you ............ him.',"had seen|see|will see|saw",see,medium,VOCAB
This fascinating book covers some of the most ............ crimes of the twentieth century.,"unknown|hidden|covered|infamous",infamous,medium,VOCAB
The government should do more for ............ people.,"usual|ordinary|everyday|typical",ordinary,medium,VOCAB
Ivan tells me he really ............ himself at your barbecue last week.,"pleased|played|enjoyed|interested",enjoyed,medium,VOCAB
"I know we had an argument, but now I'd quite like to ............ .","look down|make up|fall out|bring up",make up,medium,VOCAB
Harry and Sam both denied that the fight was their ............ .,"blame|cause|criticism|fault",fault,medium,VOCAB
"The curtain went up, the ............ grew silent and the actors on stage began to speak.","crowd|congregation|jury|audience",audience,medium,VOCAB
It was ............ windy that I couldn't stand up!,"so|such|enough|too",so,medium,VOCAB
Everyone had ............ a good time when we went bowling that we agreed to go again.,"so|such|enough|too",such,medium,VOCAB
Emma and Karen used to be ............ good friends that I'm surprised they don't get on now.,"so|such|enough|too",such,medium,VOCAB
I hope I've got ............ money to pay for this meal!,"so|such|enough|too",enough,medium,VOCAB
"I'm sorry, but I've got ............ much work to do to come to the beach today.","so|such|enough|too",too,medium,VOCAB
My mum was ............ angry that I knew I'd better disappear for a while.,"so|such|enough|too",so,medium,VOCAB
They were ............ beautiful shoes that I decided I had to get them.,"so|such|enough|too",such,medium,VOCAB
The earthquake was ............ powerful that the town was destroyed.,"so|such|enough|too",so,medium,VOCAB
The shot was ............ quick for the goalkeeper and the ball hit the back of the net.,"so|such|enough|too",too,medium,VOCAB
I had ............ a bad headache that I went to lie down for a while.,"so|such|enough|too",such,medium,VOCAB
One problem is that we don't have ............ officers on the streets.,"so a lot of|too many|enough|such many",enough,medium,VOCAB
I can't get a car yet because I'm not ............ to drive.,"enough old|quite old|so old|old enough",old enough,medium,VOCAB
Some crimes seem to be ............ in this country than in others.,"much less common|the least common|too little common|little common enough",much less common,medium,VOCAB
Police blamed the robberies ............ a local gang.,"with|on|for|to",on,medium,VOCAB
My grandma says there was ............ a lot of crime when she was young that nobody trusted anybody else.,"too|so|such|quite",so,medium,VOCAB
It became ............ as I walked home and I began to get slightly nervous.,"enough dark|such dark|quite dark|so dark enough",quite dark,medium,VOCAB
The prisoner knew he had ............ a mistake and would regret it forever.,"got|taken|done|made",made,medium,VOCAB
The boy ............ that he had had anything to do with the break-in.,"refused|denied|objected|rejected",denied,medium,VOCAB
"Suddenly, someone shouted, 'Thief!' and the man quickly ............ on a motorbike.","took in|made off|came forward|handed in",made off,medium,VOCAB
Do you have ............ to take that bicycle?,"allowance|exception|willingness|permission",permission,medium,VOCAB
"He said it was an accident, but I know he did it on ............ .","purpose|aim|goal|reason",purpose,medium,VOCAB
Things started to ............ wrong for the robbers when the alarm went off.,"take|have|go|come",go,medium,VOCAB
The sign says that all shoplifters will be ............ .,"persecuted|disproved|prosecuted|prohibited",prosecuted,medium,VOCAB
"............ I have a look at those shoes in the window, please?","Must|Would|Should|Could",Could,medium,VOCAB
We ............ pay for the tickets as Josie won them in a competition.,"mustn't|didn't have to|couldn't|hadn't to",didn't have to,medium,VOCAB
You really ............ make such a mountain out of a molehill!,"can't|won't|mightn't|shouldn't",shouldn't,medium,VOCAB
You won't ............ to connect to the Internet once you've got broadband as you're online twenty-four hours a day.,"need|must|ought|able",need,medium,VOCAB
I hope we ............ find the cinema easily.,"could|may|might|can",can,medium,VOCAB
We couldn't find a hotel room so we ............ sleep in the car. It was awful!,"must|should|had to|could",had to,medium,VOCAB
We'd love to ............ afford to go on a round-the-world cruise.,"can|be able to|will have to|have to",be able to,medium,VOCAB
Fiona can't ............ about the meeting. I reminded her this morning!,"forget|be forgetting|have forgotten|have been forgetting",have forgotten,medium,VOCAB
"She could ............ in the garage when we came round, which would explain why she didn't hear the bell.","work|be working|have worked|have been working",have been working,medium,VOCAB
You'll ............ tell the police that your house was broken into.,"have to|must|had to|should",have to,medium,VOCAB
Let me ............ you a nice warm bath and you'll feel a lot better.,"make|run|get|build",run,medium,VOCAB
"When the snake bit Mike in the forest, he knew he was ............ serious danger.","to|with|on|in",in,medium,VOCAB
Being ............ an injection wasn't as painful as I thought it was going to be.,"given|done|made|taken",given,medium,VOCAB
"Hello? Yes, I'd like to ............ an appointment for tomorrow with Dr Fletcher, please.","form|do|break|make",make,medium,VOCAB
My grandfather's over 95 and is ............ pretty poor health these days.,"on|to|with|in",in,medium,VOCAB
"I was told to ............ the medicine three times a day, before meals.","take|eat|get|do",take,medium,VOCAB
I like to ............ fit by going to the gym at least twice a week.,"continue|make|keep|set",keep,medium,VOCAB
Eat your vegetables. They'll ............ you good.,"make|get|have|do",do,medium,VOCAB
The key to losing weight is to ............ more exercise.,"get|make|go|create",get,medium,VOCAB
You should try to ............ an alternative to all those sugary snacks you eat.,"make|find|take|do",find,medium,VOCAB
I'm going to make a real effort to get ............ shape for the summer.,"on|to|in|from",in,medium,VOCAB
Try spreading something low fat ............ your bread instead of butter.,"in|through|around|on",on,medium,VOCAB
I ............ have joined a gym but in the end I decided to exercise at home.,"must|could|will|may",could,medium,VOCAB
'I've been feeling under the weather recently.' 'You ............ more exercise.',"should get|should have got|would get|would have got",should get,medium,VOCAB
'It was hard work getting back from the hospital with my leg in plaster.' 'You should ............ me. I'd have picked you up.',"call|be calling|have called|have been calling",have called,medium,VOCAB
